Number,State,Value,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,2.96675,0.001,0.028,1.111,1.11,0.547,0.563,0.547,0.563,2.245,0.134,993.675,0.86
1,COMPLETE,3.71279,0.008,0.007,1.079,1.071,0.543,0.528,0.543,0.528,2.366,0.134,957.779,0.853
2,COMPLETE,2.58948,0.003,0.035,1.072,1.069,0.526,0.543,0.526,0.543,2.56,0.139,974.448,0.856
3,COMPLETE,2.5267600000000003,0.0,0.019,1.061,1.061,0.514,0.547,0.514,0.547,3.256,0.183,878.176,0.785
4,COMPLETE,-1.56754,0.026,0.063,1.1,1.074,0.554,0.52,0.554,0.52,6.201,0.259,749.246,0.674
5,COMPLETE,2.1915,0.003,0.037,1.064,1.061,0.521,0.54,0.521,0.54,3.154,0.139,940.65,0.851
6,COMPLETE,1.34201,0.0,0.045,1.045,1.045,0.512,0.533,0.512,0.533,4.173,0.164,881.701,0.805
7,COMPLETE,0.4014100000000001,0.0,0.079,1.015,1.015,0.555,0.46,0.555,0.46,2.711,0.158,942.641,0.841
8,COMPLETE,0.9867799999999999,0.001,0.054,1.07,1.069,0.535,0.534,0.535,0.534,3.832,0.171,905.178,0.821
9,COMPLETE,1.4147800000000001,0.008,0.025,1.081,1.073,0.522,0.551,0.522,0.551,4.817,0.188,818.978,0.744
10,COMPLETE,-0.3128599999999998,0.014,0.071,1.063,1.049,0.528,0.521,0.528,0.521,4.063,0.176,876.214,0.794
11,COMPLETE,3.9334700000000002,0.003,0.003,1.084,1.081,0.538,0.543,0.538,0.543,2.435,0.14,954.847,0.85
