Number,State,Value,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,-14.67068,0.0,0.346,0.459,0.459,0.235,0.224,0.235,0.224,12.53,0.176,492.432,0.511
1,COMPLETE,-5.68592,0.0,0.186,0.744,0.744,0.335,0.409,0.335,0.409,8.426,0.149,733.408,0.702
2,COMPLETE,-10.383790000000001,0.0,0.259,0.503,0.503,0.233,0.27,0.233,0.27,13.842,0.18,508.121,0.543
3,COMPLETE,-14.54973,0.0,0.345,0.474,0.474,0.251,0.223,0.251,0.223,11.314,0.207,507.027,0.539
4,COMPLETE,-0.9126299999999999,0.0,0.085,0.914,0.914,0.426,0.488,0.426,0.488,4.688,0.156,790.737,0.765
5,COMPLETE,0.13588000000000006,0.0,0.054,0.893,0.893,0.453,0.44,0.453,0.44,6.047,0.153,730.088,0.676
6,COMPLETE,-0.8592199999999999,0.0,0.101,0.938,0.938,0.521,0.417,0.521,0.417,3.404,0.159,888.078,0.814
7,COMPLETE,-9.95717,0.0,0.304,0.681,0.681,0.335,0.346,0.335,0.346,4.083,0.089,864.783,0.821
8,COMPLETE,-4.2260100000000005,0.0,0.181,0.939,0.939,0.528,0.411,0.528,0.411,3.018,0.127,951.899,0.844
9,COMPLETE,-18.00157,0.0,0.415,0.472,0.472,0.235,0.237,0.235,0.237,10.23,0.162,510.843,0.517
10,COMPLETE,1.73448,0.0,0.055,0.991,0.991,0.458,0.533,0.458,0.533,2.782,0.11,943.948,0.849
11,COMPLETE,0.7505400000000001,0.0,0.055,0.774,0.774,0.381,0.393,0.381,0.393,8.118,0.1,737.054,0.681
