Number,State,Value,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,-24.899559999999997,0.0,0.554,0.13,0.13,0.066,0.064,0.066,0.064,12.994,0.178,345.044,0.426
1,COMPLETE,-14.58846,0.003,0.284,0.374,0.371,0.187,0.184,0.187,0.184,24.151,0.273,152.654,0.287
2,COMPLETE,-28.779670000000003,0.003,0.602,0.118,0.115,0.053,0.062,0.053,0.062,19.318,0.273,195.533,0.345
3,COMPLETE,-11.34971,0.004,0.227,0.476,0.472,0.278,0.194,0.278,0.194,20.997,0.25,244.029,0.337
4,COMPLETE,-17.5105,0.0,0.364,0.202,0.202,0.114,0.088,0.114,0.088,22.097,0.217,169.95,0.291
5,COMPLETE,-12.303279999999999,0.0,0.263,0.506,0.506,0.238,0.268,0.238,0.268,18.13,0.272,337.672,0.426
6,COMPLETE,-12.273579999999999,0.001,0.239,0.441,0.44,0.232,0.208,0.232,0.208,21.769,0.253,189.642,0.273
7,COMPLETE,-8.00952,0.0,0.226,0.787,0.787,0.364,0.423,0.364,0.423,7.707,0.194,722.548,0.686
8,COMPLETE,-9.363349999999999,0.0,0.265,0.694,0.694,0.386,0.308,0.386,0.308,7.09,0.164,735.665,0.714
9,COMPLETE,-24.7849,0.0,0.476,0.136,0.136,0.07,0.066,0.07,0.066,27.528,0.329,-30.49,0.154
10,COMPLETE,-11.31919,0.0,0.259,0.504,0.504,0.281,0.223,0.281,0.223,14.216,0.225,415.081,0.457
11,COMPLETE,-12.952039999999998,0.0,0.294,0.474,0.474,0.219,0.255,0.219,0.255,15.062,0.213,411.796,0.473
