Number,State,Value,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,3.0109700000000004,0.007,0.036,1.058,1.051,0.527,0.524,0.527,0.524,1.731,0.1,1020.597,0.89
1,COMPLETE,3.65387,0.007,0.029,1.055,1.048,0.501,0.547,0.501,0.547,1.295,0.083,1048.387,0.913
2,COMPLETE,2.2041999999999997,0.002,0.039,1.1,1.098,0.532,0.566,0.532,0.566,2.564,0.155,968.42,0.841
3,COMPLETE,3.3033599999999996,0.002,0.021,1.039,1.037,0.529,0.508,0.529,0.508,2.701,0.154,957.836,0.843
4,COMPLETE,3.1417100000000002,0.0,0.036,1.073,1.073,0.537,0.536,0.537,0.536,1.744,0.104,1030.671,0.894
5,COMPLETE,1.4256900000000001,0.004,0.063,1.02,1.016,0.517,0.499,0.517,0.499,2.596,0.105,973.569,0.878
6,COMPLETE,3.5405900000000003,0.013,0.027,1.072,1.059,0.55,0.509,0.55,0.509,1.298,0.089,1044.559,0.906
7,COMPLETE,2.91843,0.0,0.027,1.115,1.115,0.528,0.587,0.528,0.587,2.13,0.128,984.343,0.867
8,COMPLETE,3.33844,0.001,0.028,1.049,1.048,0.559,0.489,0.559,0.489,1.815,0.121,999.844,0.872
9,COMPLETE,2.25831,0.006,0.042,1.082,1.076,0.554,0.522,0.554,0.522,2.214,0.126,985.831,0.869
10,COMPLETE,2.79217,0.001,0.027,1.048,1.047,0.507,0.54,0.507,0.54,2.828,0.156,939.717,0.835
11,COMPLETE,3.58104,0.004,0.028,1.055,1.051,0.501,0.55,0.501,0.55,1.616,0.097,1031.604,0.902
