Number,State,Value,Param dfa_DangerDFA,Param dfa_DeliveryDFA,UserAttribute m_score,UserAttribute norm_Danger,UserAttribute norm_Delivery
0,COMPLETE,105.52,38.822469544890176,396.6422893630566,390.0,1.0,0.0
1,COMPLETE,67.26666666666667,135.39368372931307,13.614134861141263,200.0,0.6,0.4
2,COMPLETE,105.44,106.83902535670826,64.28074358236657,330.0,1.0,0.0
3,COMPLETE,10.066666666666666,466.284276414622,13.853014023504748,50.0,0.0,1.0
4,COMPLETE,105.52,14.217847735567275,49.094723813158986,390.0,1.0,0.0
5,COMPLETE,105.6,25.64231824875168,90.17715227021718,450.0,1.0,0.0
6,COMPLETE,105.4,98.26733283204929,146.40533788125396,300.0,1.0,0.0
7,COMPLETE,105.56,28.461692199035678,29.16956000681146,420.0,1.0,0.0
8,COMPLETE,10.066666666666666,433.8625279498734,28.386278431115212,50.0,0.0,1.0
9,COMPLETE,86.33333333333333,146.56092744291223,15.764495414876865,250.0,0.8,0.2
10,COMPLETE,86.33333333333333,136.28737198807113,106.20527968682853,250.0,0.8,0.2
11,COMPLETE,105.56,12.040982946489164,31.279019905489765,420.0,1.0,0.0
12,COMPLETE,105.4,83.33925169991574,830.8197222490522,300.0,1.0,0.0
13,COMPLETE,105.4,53.8573249717808,901.3067192095068,300.0,1.0,0.0
14,COMPLETE,10.066666666666666,496.58794939841357,115.88771171963475,50.0,0.0,1.0
15,COMPLETE,10.066666666666666,644.9668829175832,103.19400097075928,50.0,0.0,1.0
16,COMPLETE,10.066666666666666,463.9146023497505,92.52499720551768,50.0,0.0,1.0
17,COMPLETE,105.6,10.716331953593889,602.2181363855291,450.0,1.0,0.0
18,COMPLETE,85.56,24.94890916367303,11.958489094227852,420.0,1.0,0.2
19,COMPLETE,85.6,39.284389828048596,84.98217172465303,450.0,1.0,0.2
20,COMPLETE,105.6,34.791425676288654,110.54889684430078,450.0,1.0,0.0
21,COMPLETE,105.6,13.395671278402821,171.68312772840753,450.0,1.0,0.0
22,COMPLETE,10.066666666666666,987.2656874823141,949.2528121618099,50.0,0.0,1.0
23,COMPLETE,105.44,52.35036658143981,38.86469487853069,330.0,1.0,0.0
24,COMPLETE,105.56,12.279823294171642,498.6110989094521,420.0,1.0,0.0
25,COMPLETE,105.6,15.117753926491002,814.3679869850685,450.0,1.0,0.0
26,COMPLETE,105.6,16.025929349172525,364.93298690611994,450.0,1.0,0.0
27,COMPLETE,105.6,17.688742790697113,173.9669059741689,450.0,1.0,0.0
28,COMPLETE,105.6,10.180860956549914,277.44403944840656,450.0,1.0,0.0
29,COMPLETE,105.56,32.27573463021105,214.4300915398254,420.0,1.0,0.0
30,COMPLETE,105.6,43.471955774960826,104.53228399885835,450.0,1.0,0.0
