Blue Eaten,Orange Eaten,Score,Seed,Vegan,Win/Lose
0,0,909.0,0,0,win
0,0,893.0,0,0,win
0,0,866.0,0,0,win
0,0,937.0,0,0,win
0,0,887.0,0,0,win
0,0,934.0,0,0,win
0,0,800.0,0,0,win
0,0,-70.0,0,0,timeout
0,0,912.0,0,0,win
0,0,934.0,0,0,win
0,0,-315.0,0,0,lose
0,0,-30.0,0,0,timeout
0,0,-322.0,0,0,lose
0,0,938.0,0,0,win
0,0,934.0,0,0,win
1,0,1066.0,0,1,win
0,0,0.0,0,0,timeout
0,0,878.0,0,0,win
0,0,-10.0,0,0,timeout
0,0,761.0,0,0,win
0,0,-428.0,0,0,lose
0,0,-179.0,0,0,lose
0,0,922.0,0,0,win
0,0,886.0,0,0,win
0,0,952.0,0,0,win
0,1,1137.0,0,1,win
0,0,910.0,0,0,win
0,0,918.0,0,0,win
0,0,901.0,0,0,win
0,0,866.0,0,0,win
0,0,906.0,0,0,win
0,0,897.0,0,0,win
0,0,60.0,0,0,timeout
0,0,902.0,0,0,win
0,0,912.0,0,0,win
0,0,-158.0,0,0,lose
0,0,840.0,0,0,win
0,0,860.0,0,0,win
0,0,-73.0,0,0,lose
0,0,-30.0,0,0,timeout
0,0,822.0,0,0,win
0,0,912.0,0,0,win
0,0,933.0,0,0,win
0,0,951.0,0,0,win
0,0,950.0,0,0,win
0,0,765.0,0,0,win
0,0,900.0,0,0,win
0,1,430.0,0,1,timeout
0,0,835.0,0,0,win
0,0,-372.0,0,0,lose
0,0,929.0,0,0,win
0,0,897.0,0,0,win
0,0,928.0,0,0,win
0,0,913.0,0,0,win
0,0,841.0,0,0,win
0,0,-348.0,0,0,lose
0,0,782.0,0,0,win
0,0,960.0,0,0,win
0,0,939.0,0,0,win
0,0,935.0,0,0,win
0,0,907.0,0,0,win
0,0,927.0,0,0,win
0,0,942.0,0,0,win
0,0,880.0,0,0,win
0,0,896.0,0,0,win
0,0,-231.0,0,0,lose
0,0,940.0,0,0,win
0,0,913.0,0,0,win
0,0,901.0,0,0,win
