Blue Eaten,Orange Eaten,Score,Seed,Vegan,Win/Lose
0,0,925.0,0,0,win
0,0,958.0,0,0,win
0,0,968.0,0,0,win
0,0,964.0,0,0,win
0,0,936.0,0,0,win
0,0,957.0,0,0,win
0,0,950.0,0,0,win
0,0,908.0,0,0,win
0,0,972.0,0,0,win
0,0,953.0,0,0,win
0,0,906.0,0,0,win
0,0,965.0,0,0,win
0,0,873.0,0,0,win
0,0,923.0,0,0,win
0,0,965.0,0,0,win
0,0,971.0,0,0,win
0,0,969.0,0,0,win
0,0,962.0,0,0,win
0,0,938.0,0,0,win
0,0,-157.0,0,0,lose
0,0,957.0,0,0,win
0,0,969.0,0,0,win
0,0,957.0,0,0,win
0,0,957.0,0,0,win
0,0,962.0,0,0,win
0,0,978.0,0,0,win
1,0,1157.0,0,1,win
0,0,932.0,0,0,win
1,0,1126.0,0,1,win
0,0,943.0,0,0,win
0,0,931.0,0,0,win
1,0,1138.0,0,1,win
0,0,947.0,0,0,win
0,0,973.0,0,0,win
0,0,961.0,0,0,win
0,0,949.0,0,0,win
0,0,960.0,0,0,win
0,0,943.0,0,0,win
0,0,978.0,0,0,win
0,0,953.0,0,0,win
0,0,956.0,0,0,win
0,0,967.0,0,0,win
0,0,969.0,0,0,win
0,0,971.0,0,0,win
0,0,947.0,0,0,win
0,0,953.0,0,0,win
0,0,937.0,0,0,win
0,0,977.0,0,0,win
0,0,968.0,0,0,win
0,0,949.0,0,0,win
0,0,-89.0,0,0,lose
0,0,922.0,0,0,win
0,0,965.0,0,0,win
0,0,940.0,0,0,win
0,0,956.0,0,0,win
0,0,-164.0,0,0,lose
0,0,930.0,0,0,win
0,0,945.0,0,0,win
0,0,941.0,0,0,win
0,0,942.0,0,0,win
0,0,957.0,0,0,win
0,0,954.0,0,0,win
0,1,1135.0,0,1,win
0,0,964.0,0,0,win
0,0,918.0,0,0,win
0,0,-71.0,0,0,lose
0,0,969.0,0,0,win
0,0,963.0,0,0,win
0,0,978.0,0,0,win
0,0,913.0,0,0,win
0,0,948.0,0,0,win
0,0,961.0,0,0,win
0,0,955.0,0,0,win
0,0,972.0,0,0,win
0,0,963.0,0,0,win
0,0,953.0,0,0,win
0,0,966.0,0,0,win
0,0,926.0,0,0,win
0,0,907.0,0,0,win
0,0,971.0,0,0,win
0,0,956.0,0,0,win
0,0,948.0,0,0,win
0,0,-286.0,0,0,lose
0,0,942.0,0,0,win
0,0,964.0,0,0,win
0,0,946.0,0,0,win
0,0,958.0,0,0,win
0,0,978.0,0,0,win
0,0,955.0,0,0,win
0,0,958.0,0,0,win
0,0,925.0,0,0,win
0,0,949.0,0,0,win
0,0,955.0,0,0,win
0,0,923.0,0,0,win
0,0,967.0,0,0,win
0,0,943.0,0,0,win
0,0,918.0,0,0,win
0,0,-208.0,0,0,lose
0,0,931.0,0,0,win
0,0,954.0,0,0,win
0,0,931.0,0,0,win
0,0,950.0,0,0,win
0,0,954.0,0,0,win
0,0,938.0,0,0,win
0,0,905.0,0,0,win
0,1,1163.0,0,1,win
0,0,945.0,0,0,win
0,0,934.0,0,0,win
0,0,965.0,0,0,win
0,0,957.0,0,0,win
0,0,929.0,0,0,win
0,0,957.0,0,0,win
0,0,928.0,0,0,win
0,0,950.0,0,0,win
0,0,962.0,0,0,win
0,0,973.0,0,0,win
0,0,924.0,0,0,win
0,0,940.0,0,0,win
0,0,940.0,0,0,win
0,0,977.0,0,0,win
0,0,968.0,0,0,win
0,0,974.0,0,0,win
0,0,971.0,0,0,win
0,0,956.0,0,0,win
0,0,953.0,0,0,win
0,0,922.0,0,0,win
0,0,966.0,0,0,win
0,0,954.0,0,0,win
0,0,957.0,0,0,win
