Number,State,Value,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.622549999999999,0.003,0.002,0.001,1.148,0.058,866.755,0.934
1,COMPLETE,8.415170000000002,0.001,0.0,0.001,1.174,0.079,843.017,0.917
2,COMPLETE,8.689900000000002,0.011,0.006,0.005,0.813,0.055,885.49,0.942
3,COMPLETE,8.561549999999999,0.004,0.002,0.002,1.31,0.083,862.155,0.917
4,COMPLETE,8.661610000000001,0.01,0.004,0.006,1.005,0.056,881.161,0.938
5,COMPLETE,8.610790000000001,0.017,0.007,0.01,0.971,0.066,886.579,0.934
6,COMPLETE,8.31066,0.028,0.014,0.014,1.233,0.069,873.066,0.93
7,COMPLETE,9.00447,0.01,0.005,0.005,0.686,0.033,915.447,0.965
8,COMPLETE,8.714810000000002,0.008,0.004,0.004,0.922,0.061,883.481,0.938
9,COMPLETE,6.662380000000001,0.003,0.003,0.0,2.819,0.107,670.738,0.735
10,COMPLETE,8.78159,0.011,0.009,0.002,0.878,0.053,894.659,0.946
11,COMPLETE,9.01344,0.003,0.002,0.001,0.697,0.038,905.844,0.962
