Number,State,Value,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.84022,0.006,0.003,0.003,1.044,0.054,893.022,0.946
1,COMPLETE,8.70316,0.0,0.0,0.0,1.566,0.08,870.316,0.92
2,COMPLETE,8.448509999999999,0.004,0.002,0.002,1.333,0.1,850.851,0.9
3,COMPLETE,8.302550000000002,0.01,0.005,0.005,1.781,0.09,845.255,0.908
4,COMPLETE,8.85693,0.003,0.001,0.002,1.114,0.061,890.193,0.939
5,COMPLETE,7.9654,0.001,0.0,0.001,2.47,0.143,798.04,0.856
6,COMPLETE,8.484169999999999,0.008,0.006,0.002,1.747,0.086,860.417,0.914
7,COMPLETE,9.07857,0.001,0.0,0.001,0.838,0.047,909.357,0.953
8,COMPLETE,8.43737,0.0,0.0,0.0,1.52,0.101,843.737,0.899
9,COMPLETE,7.85432,0.004,0.003,0.001,3.054,0.126,791.432,0.873
10,COMPLETE,8.52643,0.011,0.006,0.005,1.224,0.083,869.143,0.917
11,COMPLETE,8.240860000000001,0.021,0.008,0.013,1.086,0.09,855.586,0.909
