Number,State,Value,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,8.55368,0.004,0.004,0.0,1.161,0.093,861.368,0.907
1,COMPLETE,8.49687,0.002,0.001,0.001,1.309,0.103,852.687,0.897
2,COMPLETE,8.460360000000001,0.006,0.003,0.003,1.77,0.095,855.036,0.904
3,COMPLETE,8.34111,0.001,0.001,0.0,2.112,0.11,835.611,0.89
4,COMPLETE,8.4264,0.003,0.001,0.002,1.088,0.102,847.14,0.898
5,COMPLETE,8.34294,0.0,0.0,0.0,2.016,0.112,834.294,0.888
6,COMPLETE,8.78027,0.0,0.0,0.0,1.2,0.076,878.027,0.923
7,COMPLETE,8.484729999999999,0.009,0.005,0.004,1.211,0.094,861.973,0.906
8,COMPLETE,8.62701,0.006,0.003,0.003,1.308,0.08,871.701,0.92
9,COMPLETE,8.65609,0.001,0.0,0.001,1.336,0.083,867.109,0.917
10,COMPLETE,7.973649999999999,0.005,0.003,0.002,2.278,0.137,804.865,0.863
11,COMPLETE,8.4105,0.003,0.001,0.002,1.882,0.101,845.55,0.898
