Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,14.68101,1.769,1.745,2.704,0.152,1468.101,0.848
1,COMPLETE,14.8953,1.803,1.793,3.118,0.143,1489.53,0.857
2,COMPLETE,14.586229999999999,1.77,1.823,3.901,0.161,1458.623,0.837
3,COMPLETE,14.676400000000001,1.798,1.771,3.03,0.156,1467.64,0.844
4,COMPLETE,14.407540000000001,1.808,1.81,4.728,0.179,1440.754,0.821
5,COMPLETE,15.20365,1.823,1.826,2.717,0.129,1520.365,0.871
6,COMPLETE,14.72622,1.829,1.837,3.704,0.167,1472.622,0.833
7,COMPLETE,13.886610000000001,1.761,1.813,5.515,0.218,1388.661,0.782
8,COMPLETE,14.236369999999999,1.793,1.811,4.458,0.199,1423.637,0.801
9,COMPLETE,14.82564,1.79,1.799,3.779,0.146,1482.564,0.854
10,COMPLETE,15.076459999999999,1.754,1.793,2.926,0.126,1507.646,0.874
11,COMPLETE,14.555629999999999,1.788,1.796,3.547,0.18,1455.563,0.82
