Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,14.466610000000001,1.839,1.831,5.728,0.181,1446.661,0.819
1,COMPLETE,14.250330000000002,1.832,1.784,5.836,0.187,1425.033,0.812
2,COMPLETE,14.01516,1.808,1.828,5.755,0.217,1401.516,0.783
3,COMPLETE,14.38609,1.801,1.793,4.527,0.165,1438.609,0.832
4,COMPLETE,14.68844,1.852,1.85,4.625,0.166,1468.844,0.834
5,COMPLETE,14.433819999999999,1.829,1.823,5.103,0.185,1443.382,0.815
6,COMPLETE,14.508040000000001,1.787,1.782,4.517,0.157,1450.804,0.842
7,COMPLETE,14.74686,1.833,1.831,4.603,0.159,1474.686,0.841
8,COMPLETE,15.48479,1.911,1.867,2.908,0.117,1548.479,0.883
9,COMPLETE,14.568119999999999,1.839,1.801,5.041,0.171,1456.812,0.827
10,COMPLETE,14.89099,1.847,1.854,3.722,0.152,1489.099,0.842
11,COMPLETE,14.894200000000001,1.823,1.835,4.215,0.146,1489.42,0.854
