Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,14.057369999999999,1.848,1.826,4.106,0.229,1405.737,0.77
1,COMPLETE,15.101389999999999,1.793,1.764,2.509,0.128,1510.139,0.872
2,COMPLETE,14.50772,1.837,1.807,3.986,0.182,1450.772,0.818
3,COMPLETE,15.35102,1.851,1.852,2.762,0.122,1535.102,0.878
4,COMPLETE,15.074729999999999,1.87,1.831,3.23,0.144,1507.473,0.856
5,COMPLETE,14.79165,1.85,1.828,3.15,0.171,1479.165,0.829
6,COMPLETE,14.26279,1.796,1.797,4.439,0.198,1426.279,0.802
7,COMPLETE,14.94235,1.782,1.739,2.682,0.136,1494.235,0.863
8,COMPLETE,15.0875,1.822,1.819,2.362,0.147,1508.75,0.853
9,COMPLETE,14.95182,1.847,1.825,2.996,0.148,1495.182,0.852
10,COMPLETE,15.07792,1.815,1.819,2.976,0.136,1507.792,0.864
11,COMPLETE,15.061020000000001,1.773,1.795,2.622,0.132,1506.102,0.868
