Number,State,Value,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,15.23964,1.892,1.878,3.973,0.139,1523.964,0.861
1,COMPLETE,14.221260000000001,1.833,1.844,5.5,0.206,1422.126,0.794
2,COMPLETE,14.90443,1.856,1.852,4.441,0.156,1490.443,0.844
3,COMPLETE,13.920580000000001,1.812,1.8,6.619,0.221,1392.058,0.779
4,COMPLETE,14.85783,1.853,1.815,4.583,0.154,1485.783,0.846
5,COMPLETE,14.578479999999999,1.845,1.831,5.332,0.176,1457.848,0.824
6,COMPLETE,14.07348,1.787,1.823,6.524,0.203,1407.348,0.797
7,COMPLETE,14.47049,1.835,1.849,5.147,0.183,1447.049,0.814
8,COMPLETE,15.58737,1.896,1.911,2.578,0.115,1558.737,0.883
9,COMPLETE,14.754190000000001,1.847,1.848,4.443,0.164,1475.419,0.835
10,COMPLETE,14.326649999999999,1.827,1.832,5.987,0.185,1432.665,0.815
11,COMPLETE,14.302510000000002,1.847,1.821,6.042,0.2,1430.251,0.8
