Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,VegetarianBlue,VegetarianOrange,Win/Lose
2,3,0,1,6,1518.0,0,2,1,win
2,4,1,2,8,1736.0,0,2,2,win
2,4,1,2,8,1772.0,0,2,2,win
2,4,1,2,8,1719.0,0,2,2,win
2,4,0,2,8,1736.0,0,2,2,win
2,3,1,2,7,1754.0,0,2,2,win
2,4,1,2,8,1744.0,0,2,2,win
2,4,1,2,8,1744.0,0,2,2,win
2,4,1,2,8,1732.0,0,2,2,win
2,4,0,2,8,1737.0,0,2,2,win
2,3,1,2,7,1732.0,0,2,2,win
2,4,0,2,8,1734.0,0,2,2,win
1,2,0,1,4,30.0,0,1,1,lose
2,4,1,2,8,1754.0,0,2,2,win
2,4,1,2,8,1738.0,0,2,2,win
2,4,1,2,8,1728.0,0,2,2,win
2,2,1,2,6,526.0,0,2,2,lose
2,4,0,2,8,1728.0,0,2,2,win
0,1,0,1,2,-167.0,0,0,1,lose
2,3,0,2,7,1777.0,0,2,2,win
2,4,1,2,8,1732.0,0,2,2,win
2,4,1,2,8,1735.0,0,2,2,win
2,4,1,2,8,1651.0,0,2,2,win
2,4,0,2,8,1747.0,0,2,2,win
2,3,0,2,7,1737.0,0,2,2,win
2,3,1,2,7,1737.0,0,2,2,win
2,3,1,2,7,1766.0,0,2,2,win
2,3,1,1,6,1522.0,0,2,1,win
2,3,0,2,7,1720.0,0,2,2,win
2,3,1,2,7,1729.0,0,2,2,win
2,4,1,2,8,1764.0,0,2,2,win
1,1,1,1,3,15.0,0,1,1,lose
2,4,0,2,8,1770.0,0,2,2,win
2,4,1,2,8,1726.0,0,2,2,win
2,3,1,1,6,1522.0,0,2,1,win
2,3,1,2,7,1743.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,4,1,2,8,1752.0,0,2,2,win
2,4,1,2,8,1761.0,0,2,2,win
2,4,1,2,8,1764.0,0,2,2,win
2,3,0,2,7,1756.0,0,2,2,win
2,4,0,2,8,1753.0,0,2,2,win
2,3,1,2,7,1762.0,0,2,2,win
2,4,0,2,8,1723.0,0,2,2,win
2,4,1,2,8,1727.0,0,2,2,win
2,3,1,2,7,1728.0,0,2,2,win
2,4,0,2,8,1748.0,0,2,2,win
1,3,1,2,6,1505.0,0,1,2,win
2,4,1,2,8,1759.0,0,2,2,win
2,4,1,2,8,1739.0,0,2,2,win
2,4,1,2,8,1718.0,0,2,2,win
2,4,0,2,8,1716.0,0,2,2,win
2,4,1,2,8,1737.0,0,2,2,win
1,0,1,1,2,22.0,0,1,1,lose
2,4,1,2,8,1752.0,0,2,2,win
2,3,1,1,6,1501.0,0,2,1,win
2,4,0,2,8,1756.0,0,2,2,win
2,2,1,1,5,1526.0,0,2,1,win
2,4,0,2,8,1751.0,0,2,2,win
2,4,1,2,8,1763.0,0,2,2,win
1,1,1,1,3,30.0,0,1,1,lose
2,4,0,2,8,1726.0,0,2,2,win
2,3,1,2,7,1712.0,0,2,2,win
2,4,1,2,8,1718.0,0,2,2,win
2,4,1,2,8,520.0,0,2,2,lose
2,4,1,2,8,1741.0,0,2,2,win
2,4,1,2,8,649.0,0,2,2,lose
2,4,0,2,8,1730.0,0,2,2,win
2,4,1,2,8,1728.0,0,2,2,win
2,4,1,2,8,1740.0,0,2,2,win
2,4,1,2,8,1733.0,0,2,2,win
2,4,0,2,8,1773.0,0,2,2,win
1,2,1,1,4,29.0,0,1,1,lose
2,4,0,2,8,1760.0,0,2,2,win
2,2,1,2,6,1734.0,0,2,2,win
2,4,0,2,8,1734.0,0,2,2,win
2,4,1,2,8,1751.0,0,2,2,win
2,4,1,2,8,1757.0,0,2,2,win
2,4,1,2,8,1732.0,0,2,2,win
1,0,1,1,2,22.0,0,1,1,lose
2,4,1,2,8,1757.0,0,2,2,win
2,4,0,2,8,1754.0,0,2,2,win
2,4,1,2,8,1719.0,0,2,2,win
2,4,0,2,8,1754.0,0,2,2,win
2,3,1,2,7,1759.0,0,2,2,win
2,3,0,2,7,1775.0,0,2,2,win
2,4,0,2,8,1760.0,0,2,2,win
2,3,1,2,7,1726.0,0,2,2,win
2,4,1,2,8,1720.0,0,2,2,win
2,4,1,2,8,1714.0,0,2,2,win
2,4,1,2,8,1718.0,0,2,2,win
1,0,1,0,1,-178.0,0,1,0,lose
2,3,0,2,7,1752.0,0,2,2,win
2,4,0,2,8,1731.0,0,2,2,win
2,4,1,2,8,1750.0,0,2,2,win
1,2,0,1,4,22.0,0,1,1,lose
2,3,1,2,7,1751.0,0,2,2,win
2,3,1,2,7,548.0,0,2,2,lose
2,4,1,2,8,1753.0,0,2,2,win
2,4,0,2,8,1737.0,0,2,2,win
1,0,1,1,2,22.0,0,1,1,lose
1,3,1,2,6,1524.0,0,1,2,win
2,4,0,2,8,1752.0,0,2,2,win
2,4,1,2,8,1718.0,0,2,2,win
2,4,1,2,8,1733.0,0,2,2,win
2,3,1,2,7,625.0,0,2,2,lose
2,4,0,2,8,1740.0,0,2,2,win
2,4,0,2,8,1725.0,0,2,2,win
2,4,0,2,8,633.0,0,2,2,lose
2,3,0,2,7,1749.0,0,2,2,win
2,4,1,2,8,1713.0,0,2,2,win
2,4,1,2,8,1769.0,0,2,2,win
2,4,1,2,8,1761.0,0,2,2,win
2,4,0,2,8,1754.0,0,2,2,win
2,4,0,2,8,1752.0,0,2,2,win
2,4,1,2,8,1749.0,0,2,2,win
2,4,1,2,8,1731.0,0,2,2,win
2,4,1,2,8,1721.0,0,2,2,win
2,4,1,2,8,1737.0,0,2,2,win
2,4,1,2,8,1772.0,0,2,2,win
2,4,0,2,8,1751.0,0,2,2,win
2,4,1,2,8,1733.0,0,2,2,win
2,4,1,2,8,1747.0,0,2,2,win
2,4,0,2,8,1726.0,0,2,2,win
2,3,1,1,6,1504.0,0,2,1,win
2,4,1,2,8,1753.0,0,2,2,win
2,4,1,2,8,1724.0,0,2,2,win
2,4,1,2,8,1702.0,0,2,2,win
2,4,1,2,8,1757.0,0,2,2,win
2,4,0,2,8,534.0,0,2,2,lose
2,3,1,2,7,654.0,0,2,2,lose
1,3,0,2,6,1545.0,0,1,2,win
2,3,1,2,7,1719.0,0,2,2,win
2,4,1,2,8,1724.0,0,2,2,win
2,4,1,2,8,1753.0,0,2,2,win
2,4,0,2,8,1762.0,0,2,2,win
2,4,0,2,8,1772.0,0,2,2,win
2,4,0,2,8,1754.0,0,2,2,win
2,4,1,2,8,1740.0,0,2,2,win
1,2,1,2,5,1536.0,0,1,2,win
2,4,0,2,8,1767.0,0,2,2,win
2,4,1,2,8,1752.0,0,2,2,win
2,4,1,2,8,1757.0,0,2,2,win
2,4,0,2,8,1741.0,0,2,2,win
2,3,1,2,7,522.0,0,2,2,lose
2,3,1,2,7,1755.0,0,2,2,win
2,4,1,2,8,1744.0,0,2,2,win
1,1,1,1,3,63.0,0,1,1,lose
2,4,1,2,8,1745.0,0,2,2,win
1,3,1,2,6,1503.0,0,1,2,win
2,4,1,2,8,1752.0,0,2,2,win
1,2,1,2,5,1524.0,0,1,2,win
2,3,1,2,7,1763.0,0,2,2,win
2,4,1,2,8,634.0,0,2,2,lose
2,4,1,2,8,1721.0,0,2,2,win
2,4,1,2,8,1756.0,0,2,2,win
2,4,1,2,8,1745.0,0,2,2,win
2,3,1,2,7,1737.0,0,2,2,win
1,1,1,1,3,66.0,0,1,1,lose
2,3,1,2,7,1743.0,0,2,2,win
2,4,0,2,8,1735.0,0,2,2,win
2,4,1,2,8,1724.0,0,2,2,win
2,3,1,2,7,1766.0,0,2,2,win
2,3,1,1,6,326.0,0,2,1,lose
2,4,1,2,8,623.0,0,2,2,lose
2,3,1,2,7,1751.0,0,2,2,win
2,4,1,2,8,1762.0,0,2,2,win
2,3,1,2,7,1762.0,0,2,2,win
2,3,1,2,7,1745.0,0,2,2,win
2,3,1,2,7,623.0,0,2,2,lose
2,4,0,2,8,1766.0,0,2,2,win
2,4,1,2,8,1754.0,0,2,2,win
2,4,0,2,8,1745.0,0,2,2,win
0,0,1,1,1,-181.0,0,0,1,lose
0,0,1,1,1,-169.0,0,0,1,lose
2,4,0,2,8,1726.0,0,2,2,win
2,4,0,2,8,1745.0,0,2,2,win
2,4,0,2,8,1751.0,0,2,2,win
1,1,0,0,2,-168.0,0,1,0,lose
2,4,0,2,8,1746.0,0,2,2,win
2,3,0,1,6,1537.0,0,2,1,win
2,4,0,2,8,1745.0,0,2,2,win
2,4,1,2,8,1693.0,0,2,2,win
1,0,1,0,1,-178.0,0,1,0,lose
2,4,1,2,8,1743.0,0,2,2,win
2,4,0,2,8,1755.0,0,2,2,win
2,4,1,2,8,1751.0,0,2,2,win
1,0,1,1,2,21.0,0,1,1,lose
2,4,0,2,8,1722.0,0,2,2,win
2,4,0,2,8,1714.0,0,2,2,win
2,3,0,1,6,1507.0,0,2,1,win
2,4,0,2,8,1758.0,0,2,2,win
0,1,1,1,2,-173.0,0,0,1,lose
2,4,0,2,8,1731.0,0,2,2,win
2,4,0,2,8,1740.0,0,2,2,win
2,3,1,2,7,1756.0,0,2,2,win
1,3,0,2,6,1529.0,0,1,2,win
2,3,1,1,6,1513.0,0,2,1,win
2,4,1,2,8,1766.0,0,2,2,win
2,3,1,2,7,1772.0,0,2,2,win
2,3,0,2,7,1763.0,0,2,2,win
2,3,0,2,7,552.0,0,2,2,lose
1,3,1,2,6,1536.0,0,1,2,win
2,4,1,2,8,1744.0,0,2,2,win
2,4,1,2,8,1761.0,0,2,2,win
2,4,0,2,8,1735.0,0,2,2,win
2,3,1,2,7,1726.0,0,2,2,win
2,3,1,2,7,1733.0,0,2,2,win
2,4,0,2,8,1754.0,0,2,2,win
