Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,0,1,1128.0,0,1,1,0,win
0,0,0,1,1,1135.0,0,1,0,1,win
0,0,1,1,1,400.0,0,1,0,1,timeout
0,0,0,1,1,1130.0,0,1,0,1,win
0,0,0,1,1,1122.0,0,1,0,1,win
0,0,0,1,1,1106.0,0,1,0,1,win
1,0,0,0,1,68.0,0,1,1,0,lose
1,0,0,0,1,1155.0,0,1,1,0,win
1,0,0,0,1,1157.0,0,1,1,0,win
1,0,0,0,1,1091.0,0,1,1,0,win
0,0,0,1,1,1104.0,0,1,0,1,win
1,0,0,0,1,1162.0,0,1,1,0,win
0,0,0,1,1,1139.0,0,1,0,1,win
1,0,0,0,1,1128.0,0,1,1,0,win
1,0,0,0,1,1158.0,0,1,1,0,win
1,0,0,0,1,1118.0,0,1,1,0,win
0,0,1,0,0,889.0,0,0,0,0,win
1,0,0,0,1,360.0,0,1,1,0,timeout
0,0,0,0,0,40.0,0,0,0,0,timeout
0,0,0,1,1,1145.0,0,1,0,1,win
0,0,0,0,0,40.0,0,0,0,0,timeout
0,0,0,1,1,340.0,0,1,0,1,timeout
1,0,0,0,1,1147.0,0,1,1,0,win
0,0,0,1,1,43.0,0,1,0,1,lose
0,0,0,1,1,300.0,0,1,0,1,timeout
1,0,0,0,1,1159.0,0,1,1,0,win
0,0,0,1,1,1132.0,0,1,0,1,win
0,0,1,0,0,-452.0,0,0,0,0,lose
1,0,0,0,1,260.0,0,1,1,0,timeout
1,0,0,0,1,984.0,0,1,1,0,win
0,0,1,0,0,30.0,0,0,0,0,timeout
1,0,0,0,1,1164.0,0,1,1,0,win
0,0,0,1,1,1159.0,0,1,0,1,win
0,0,1,0,0,907.0,0,0,0,0,win
0,0,0,1,1,1124.0,0,1,0,1,win
1,0,0,0,1,1151.0,0,1,1,0,win
0,0,0,1,1,1102.0,0,1,0,1,win
0,0,1,1,1,985.0,0,1,0,1,win
1,0,0,0,1,1108.0,0,1,1,0,win
0,0,0,1,1,1142.0,0,1,0,1,win
0,0,0,1,1,1157.0,0,1,0,1,win
0,0,1,0,0,-480.0,0,0,0,0,lose
0,0,0,1,1,1058.0,0,1,0,1,win
0,0,0,0,0,30.0,0,0,0,0,timeout
1,0,0,0,1,1080.0,0,1,1,0,win
1,0,0,0,1,1143.0,0,1,1,0,win
1,0,0,0,1,1145.0,0,1,1,0,win
0,0,0,1,1,1165.0,0,1,0,1,win
0,0,0,1,1,1143.0,0,1,0,1,win
0,0,0,1,1,1157.0,0,1,0,1,win
0,0,1,0,0,-485.0,0,0,0,0,lose
1,0,0,1,2,1204.0,0,2,1,1,win
0,0,0,1,1,1023.0,0,1,0,1,win
0,0,0,1,1,1101.0,0,1,0,1,win
1,0,0,0,1,1157.0,0,1,1,0,win
0,0,0,0,0,0.0,0,0,0,0,timeout
1,0,0,0,1,1136.0,0,1,1,0,win
0,0,0,1,1,1121.0,0,1,0,1,win
0,0,1,0,0,934.0,0,0,0,0,win
1,0,0,1,2,1352.0,0,2,1,1,win
0,0,1,0,0,-608.0,0,0,0,0,lose
0,0,0,1,1,1155.0,0,1,0,1,win
0,0,0,1,1,1146.0,0,1,0,1,win
1,0,0,0,1,1160.0,0,1,1,0,win
0,0,0,1,1,964.0,0,1,0,1,win
0,0,0,0,0,0.0,0,0,0,0,timeout
0,0,0,1,1,1159.0,0,1,0,1,win
1,0,0,0,1,1140.0,0,1,1,0,win
0,0,0,1,1,1128.0,0,1,0,1,win
0,0,0,0,0,-50.0,0,0,0,0,timeout
1,0,0,0,1,1080.0,0,1,1,0,win
1,0,0,0,1,-59.0,0,1,1,0,lose
1,0,0,0,1,-138.0,0,1,1,0,lose
0,0,0,1,1,1114.0,0,1,0,1,win
1,0,0,0,1,1168.0,0,1,1,0,win
0,0,0,1,1,1160.0,0,1,0,1,win
0,0,0,1,1,1138.0,0,1,0,1,win
0,0,0,0,0,0.0,0,0,0,0,timeout
0,0,0,1,1,1116.0,0,1,0,1,win
1,0,0,0,1,1143.0,0,1,1,0,win
0,0,0,0,0,0.0,0,0,0,0,timeout
1,0,0,0,1,300.0,0,1,1,0,timeout
1,0,0,0,1,1150.0,0,1,1,0,win
0,0,0,0,0,40.0,0,0,0,0,timeout
1,0,0,0,1,1153.0,0,1,1,0,win
1,0,0,0,1,1129.0,0,1,1,0,win
0,0,0,1,1,1131.0,0,1,0,1,win
1,0,0,1,2,1288.0,0,2,1,1,win
1,0,0,0,1,1091.0,0,1,1,0,win
1,0,0,0,1,1152.0,0,1,1,0,win
1,0,0,0,1,1115.0,0,1,1,0,win
0,0,0,1,1,1117.0,0,1,0,1,win
0,0,0,1,1,1108.0,0,1,0,1,win
0,0,0,0,0,30.0,0,0,0,0,timeout
1,0,0,0,1,1153.0,0,1,1,0,win
0,0,0,1,1,1120.0,0,1,0,1,win
1,0,0,0,1,380.0,0,1,1,0,timeout
1,0,0,0,1,1126.0,0,1,1,0,win
0,0,0,1,1,-100.0,0,1,0,1,lose
0,0,1,0,0,-462.0,0,0,0,0,lose
0,0,0,1,1,1149.0,0,1,0,1,win
0,0,0,0,0,50.0,0,0,0,0,timeout
0,0,1,0,0,914.0,0,0,0,0,win
0,0,0,1,1,1119.0,0,1,0,1,win
0,0,0,1,1,1152.0,0,1,0,1,win
1,0,0,0,1,1165.0,0,1,1,0,win
0,0,1,0,0,806.0,0,0,0,0,win
1,0,0,0,1,1141.0,0,1,1,0,win
1,0,0,0,1,1108.0,0,1,1,0,win
1,0,0,0,1,1122.0,0,1,1,0,win
1,0,0,0,1,1127.0,0,1,1,0,win
0,0,0,1,1,1130.0,0,1,0,1,win
0,0,1,0,0,836.0,0,0,0,0,win
0,0,0,1,1,1043.0,0,1,0,1,win
0,0,0,1,1,1143.0,0,1,0,1,win
1,0,0,0,1,-74.0,0,1,1,0,lose
1,0,0,0,1,1145.0,0,1,1,0,win
0,0,0,1,1,1145.0,0,1,0,1,win
0,0,0,0,0,-10.0,0,0,0,0,timeout
0,0,1,1,1,1106.0,0,1,0,1,win
0,0,1,0,0,20.0,0,0,0,0,timeout
1,0,0,0,1,1138.0,0,1,1,0,win
1,0,0,0,1,1123.0,0,1,1,0,win
0,0,0,1,1,1111.0,0,1,0,1,win
0,0,0,1,1,1152.0,0,1,0,1,win
0,0,0,1,1,1123.0,0,1,0,1,win
1,0,0,0,1,1114.0,0,1,1,0,win
0,0,0,1,1,1124.0,0,1,0,1,win
0,0,0,1,1,1124.0,0,1,0,1,win
1,0,0,0,1,1139.0,0,1,1,0,win
0,0,0,0,0,60.0,0,0,0,0,timeout
0,0,0,0,0,-50.0,0,0,0,0,timeout
0,0,0,1,1,1159.0,0,1,0,1,win
1,0,0,0,1,1156.0,0,1,1,0,win
0,0,0,1,1,1042.0,0,1,0,1,win
1,0,0,0,1,1110.0,0,1,1,0,win
1,0,0,0,1,1113.0,0,1,1,0,win
1,0,0,0,1,1167.0,0,1,1,0,win
0,0,0,0,0,60.0,0,0,0,0,timeout
0,0,0,1,1,1116.0,0,1,0,1,win
0,0,0,1,1,1152.0,0,1,0,1,win
0,0,0,1,1,1139.0,0,1,0,1,win
1,0,0,0,1,1130.0,0,1,1,0,win
1,0,0,1,2,1323.0,0,2,1,1,win
1,0,0,0,1,1150.0,0,1,1,0,win
1,0,0,0,1,-15.0,0,1,1,0,lose
0,0,0,0,0,-10.0,0,0,0,0,timeout
0,0,1,0,0,0.0,0,0,0,0,timeout
0,0,1,0,0,-479.0,0,0,0,0,lose
1,0,0,0,1,1108.0,0,1,1,0,win
0,0,0,1,1,1142.0,0,1,0,1,win
0,0,0,1,1,1057.0,0,1,0,1,win
1,0,0,0,1,1146.0,0,1,1,0,win
0,0,0,1,1,1139.0,0,1,0,1,win
0,0,0,1,1,1144.0,0,1,0,1,win
0,0,1,0,0,859.0,0,0,0,0,win
1,0,0,0,1,1104.0,0,1,1,0,win
0,0,0,1,1,1144.0,0,1,0,1,win
0,0,0,1,1,1109.0,0,1,0,1,win
1,0,0,0,1,1149.0,0,1,1,0,win
0,0,1,0,0,-496.0,0,0,0,0,lose
1,0,0,0,1,1125.0,0,1,1,0,win
0,0,0,1,1,1139.0,0,1,0,1,win
1,0,0,0,1,1128.0,0,1,1,0,win
1,0,0,0,1,1127.0,0,1,1,0,win
0,0,0,1,1,1114.0,0,1,0,1,win
1,0,0,0,1,1148.0,0,1,1,0,win
0,0,0,1,1,-81.0,0,1,0,1,lose
0,0,0,0,0,-30.0,0,0,0,0,timeout
0,0,0,1,1,1167.0,0,1,0,1,win
0,0,0,1,1,1143.0,0,1,0,1,win
0,0,0,0,0,60.0,0,0,0,0,timeout
1,0,0,0,1,1155.0,0,1,1,0,win
1,0,0,0,1,1136.0,0,1,1,0,win
0,0,0,1,1,1132.0,0,1,0,1,win
0,0,1,0,0,896.0,0,0,0,0,win
0,0,0,1,1,-172.0,0,1,0,1,lose
0,0,0,1,1,410.0,0,1,0,1,timeout
0,0,0,1,1,1139.0,0,1,0,1,win
0,0,0,1,1,1141.0,0,1,0,1,win
0,0,0,1,1,1150.0,0,1,0,1,win
1,0,0,0,1,1093.0,0,1,1,0,win
0,0,0,1,1,1170.0,0,1,0,1,win
1,0,0,0,1,1143.0,0,1,1,0,win
0,0,0,1,1,1131.0,0,1,0,1,win
1,0,0,0,1,1155.0,0,1,1,0,win
1,0,0,0,1,1132.0,0,1,1,0,win
0,0,0,1,1,1050.0,0,1,0,1,win
0,0,0,0,0,-130.0,0,0,0,0,timeout
1,0,0,0,1,1148.0,0,1,1,0,win
0,0,0,0,0,20.0,0,0,0,0,timeout
1,0,0,0,1,1134.0,0,1,1,0,win
0,0,1,0,0,-498.0,0,0,0,0,lose
1,0,0,0,1,-98.0,0,1,1,0,lose
1,0,0,0,1,1179.0,0,1,1,0,win
0,0,0,1,1,1112.0,0,1,0,1,win
1,0,0,0,1,-1.0,0,1,1,0,lose
0,0,0,1,1,370.0,0,1,0,1,timeout
0,0,0,1,1,1138.0,0,1,0,1,win
0,0,0,1,1,1153.0,0,1,0,1,win
1,0,0,0,1,1155.0,0,1,1,0,win
1,0,0,0,1,1164.0,0,1,1,0,win
1,0,0,0,1,1150.0,0,1,1,0,win
1,0,0,0,1,1144.0,0,1,1,0,win
0,0,1,0,0,896.0,0,0,0,0,win
1,0,0,0,1,1097.0,0,1,1,0,win
1,0,0,0,1,1131.0,0,1,1,0,win
0,0,0,1,1,1153.0,0,1,0,1,win
0,0,0,1,1,1137.0,0,1,0,1,win
0,0,0,0,0,20.0,0,0,0,0,timeout
0,0,0,0,0,-60.0,0,0,0,0,timeout
0,0,0,1,1,1108.0,0,1,0,1,win
1,0,0,0,1,1147.0,0,1,1,0,win
1,0,0,0,1,952.0,0,1,1,0,win
1,0,0,0,1,46.0,0,1,1,0,lose
0,0,0,1,1,1134.0,0,1,0,1,win
0,0,0,1,1,1140.0,0,1,0,1,win
1,0,0,0,1,963.0,0,1,1,0,win
0,0,0,1,1,1156.0,0,1,0,1,win
0,0,0,1,1,1144.0,0,1,0,1,win
0,0,1,0,0,-451.0,0,0,0,0,lose
1,0,0,0,1,1116.0,0,1,1,0,win
0,0,0,1,1,1158.0,0,1,0,1,win
0,0,0,1,1,1134.0,0,1,0,1,win
0,0,0,1,1,1137.0,0,1,0,1,win
0,0,0,1,1,1157.0,0,1,0,1,win
0,0,0,1,1,1150.0,0,1,0,1,win
0,0,0,1,1,1123.0,0,1,0,1,win
1,0,0,0,1,1146.0,0,1,1,0,win
1,0,0,0,1,1140.0,0,1,1,0,win
1,0,0,0,1,1142.0,0,1,1,0,win
1,0,0,0,1,1138.0,0,1,1,0,win
1,0,0,0,1,-69.0,0,1,1,0,lose
0,0,0,1,1,1146.0,0,1,0,1,win
0,0,1,0,0,-473.0,0,0,0,0,lose
1,0,0,0,1,1123.0,0,1,1,0,win
1,0,0,0,1,1149.0,0,1,1,0,win
1,0,0,0,1,1120.0,0,1,1,0,win
0,0,0,1,1,1140.0,0,1,0,1,win
0,0,0,1,1,1130.0,0,1,0,1,win
1,0,0,0,1,1167.0,0,1,1,0,win
1,0,0,0,1,1151.0,0,1,1,0,win
0,0,0,1,1,1078.0,0,1,0,1,win
0,0,0,1,1,1162.0,0,1,0,1,win
1,0,0,0,1,33.0,0,1,1,0,lose
1,0,0,0,1,1055.0,0,1,1,0,win
0,0,1,0,0,-10.0,0,0,0,0,timeout
1,0,0,0,1,87.0,0,1,1,0,lose
0,0,0,1,1,1118.0,0,1,0,1,win
1,0,0,0,1,1157.0,0,1,1,0,win
0,0,0,1,1,1115.0,0,1,0,1,win
0,0,1,0,0,-447.0,0,0,0,0,lose
0,0,0,0,0,40.0,0,0,0,0,timeout
0,0,0,1,1,139.0,0,1,0,1,lose
0,0,0,1,1,1128.0,0,1,0,1,win
1,0,0,1,2,1371.0,0,2,1,1,win
0,0,1,0,0,-430.0,0,0,0,0,lose
0,0,0,1,1,1161.0,0,1,0,1,win
1,0,0,0,1,112.0,0,1,1,0,lose
0,0,0,1,1,370.0,0,1,0,1,timeout
0,0,1,0,0,938.0,0,0,0,0,win
0,0,0,0,0,30.0,0,0,0,0,timeout
0,0,0,1,1,1147.0,0,1,0,1,win
1,0,0,0,1,1008.0,0,1,1,0,win
1,0,0,0,1,1138.0,0,1,1,0,win
0,0,0,1,1,1143.0,0,1,0,1,win
0,0,0,1,1,1144.0,0,1,0,1,win
0,0,1,0,0,942.0,0,0,0,0,win
1,0,0,0,1,1110.0,0,1,1,0,win
1,0,0,0,1,1133.0,0,1,1,0,win
1,0,0,0,1,1168.0,0,1,1,0,win
0,0,1,0,0,872.0,0,0,0,0,win
0,0,1,0,0,925.0,0,0,0,0,win
0,0,1,0,0,881.0,0,0,0,0,win
0,0,0,1,1,1140.0,0,1,0,1,win
0,0,0,1,1,1146.0,0,1,0,1,win
0,0,0,0,0,0.0,0,0,0,0,timeout
0,0,0,1,1,1132.0,0,1,0,1,win
0,0,0,1,1,1148.0,0,1,0,1,win
0,0,0,1,1,1148.0,0,1,0,1,win
0,0,1,0,0,953.0,0,0,0,0,win
0,0,0,1,1,1127.0,0,1,0,1,win
1,0,0,0,1,-230.0,0,1,1,0,lose
0,0,0,1,1,100.0,0,1,0,1,lose
1,0,0,0,1,1159.0,0,1,1,0,win
0,0,1,0,0,862.0,0,0,0,0,win
1,0,0,0,1,1145.0,0,1,1,0,win
0,0,0,1,1,1159.0,0,1,0,1,win
0,0,0,0,0,10.0,0,0,0,0,timeout
1,0,0,0,1,1159.0,0,1,1,0,win
0,0,0,1,1,1138.0,0,1,0,1,win
0,0,0,1,1,1142.0,0,1,0,1,win
0,0,0,0,0,-150.0,0,0,0,0,timeout
0,0,0,1,1,1134.0,0,1,0,1,win
0,0,1,0,0,-414.0,0,0,0,0,lose
1,0,0,0,1,1139.0,0,1,1,0,win
0,0,0,1,1,1120.0,0,1,0,1,win
0,0,0,1,1,1160.0,0,1,0,1,win
0,0,0,0,0,70.0,0,0,0,0,timeout
1,0,0,0,1,1149.0,0,1,1,0,win
1,0,0,0,1,1149.0,0,1,1,0,win
0,0,1,0,0,-418.0,0,0,0,0,lose
0,0,0,1,1,1120.0,0,1,0,1,win
1,0,0,0,1,1164.0,0,1,1,0,win
0,0,0,1,1,1159.0,0,1,0,1,win
1,0,0,0,1,1150.0,0,1,1,0,win
0,0,1,0,0,50.0,0,0,0,0,timeout
0,0,0,1,1,1152.0,0,1,0,1,win
1,0,0,0,1,1134.0,0,1,1,0,win
0,0,0,1,1,1157.0,0,1,0,1,win
0,0,0,1,1,1153.0,0,1,0,1,win
1,0,0,0,1,1112.0,0,1,1,0,win
1,0,0,0,1,1126.0,0,1,1,0,win
0,0,0,1,1,1149.0,0,1,0,1,win
