Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,9.06273,0.045,0.242,1.779,0.242,3.942,0.178,1094.773,0.821
1,COMPLETE,8.94065,0.092,0.221,1.828,0.221,3.077,0.158,1142.565,0.841
2,COMPLETE,9.53409,0.053,0.162,1.824,0.162,3.739,0.168,1113.909,0.832
3,COMPLETE,7.89397,0.112,0.235,1.768,0.235,4.293,0.2,1074.897,0.799
4,COMPLETE,8.08109,0.107,0.147,1.71,0.147,4.27,0.185,1042.109,0.804
5,COMPLETE,8.68858,0.092,0.177,1.76,0.177,4.035,0.163,1095.358,0.826
6,COMPLETE,9.18798,0.087,0.18,1.797,0.18,2.876,0.145,1139.298,0.855
7,COMPLETE,8.502790000000001,0.083,0.196,1.727,0.196,4.462,0.184,1072.779,0.815
8,COMPLETE,9.28814,0.082,0.218,1.816,0.218,3.165,0.139,1160.814,0.861
9,COMPLETE,7.57992,0.088,0.195,1.681,0.195,5.455,0.22,987.492,0.743
10,COMPLETE,9.016219999999999,0.079,0.152,1.783,0.152,3.602,0.164,1096.122,0.829
11,COMPLETE,9.85377,0.045,0.239,1.807,0.239,2.606,0.131,1172.377,0.868
