Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,9.7221,0.141,0.059,1.861,0.059,1.791,0.085,1213.21,0.912
1,COMPLETE,7.76069,0.236,0.054,1.802,0.054,2.889,0.125,1157.069,0.875
2,COMPLETE,9.14361,0.129,0.075,1.825,0.075,2.467,0.124,1145.361,0.874
3,COMPLETE,9.373259999999998,0.144,0.063,1.815,0.063,2.199,0.096,1184.826,0.901
4,COMPLETE,8.87018,0.168,0.059,1.825,0.059,2.306,0.116,1168.518,0.883
5,COMPLETE,7.90052,0.232,0.083,1.844,0.083,2.58,0.119,1179.552,0.879
6,COMPLETE,8.77472,0.19,0.077,1.837,0.077,1.948,0.091,1200.972,0.908
7,COMPLETE,9.27817,0.136,0.077,1.821,0.077,2.431,0.117,1170.317,0.881
8,COMPLETE,9.17817,0.146,0.077,1.844,0.077,2.38,0.12,1175.317,0.88
9,COMPLETE,9.17136,0.14,0.099,1.836,0.099,2.897,0.111,1176.636,0.888
10,COMPLETE,9.59101,0.122,0.086,1.873,0.086,2.167,0.112,1185.101,0.885
11,COMPLETE,8.524040000000001,0.218,0.062,1.83,0.062,1.502,0.077,1210.404,0.921
