Number,State,Value,Param dfa_VegBlueDFA,UserAttribute norm_Vegan,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,2.2925162116991644,87.38425405453864,3.4116,1.6989999999999998,1.7126000000000001,2.916,0.1204,1474.6216,0.877
1,COMPLETE,10.47194974930362,778.2435749376436,0.008400000000000001,0.0036,0.0048000000000000004,0.9334,0.0638,884.8448000000001,0.9356
2,COMPLETE,10.477999442896936,499.89607087152797,0.008799999999999999,0.0026,0.0062,0.8346,0.048799999999999996,897.499,0.9490000000000001
3,COMPLETE,10.446046128133705,3971.5644073315298,0.0132,0.0056,0.0076,1.1082,0.0638,859.8878000000001,0.9234
4,COMPLETE,10.474034317548748,711.3444798325334,0.0068000000000000005,0.0038,0.003,1.1564,0.061399999999999996,881.4066,0.9374
5,COMPLETE,9.362751532033426,236.26655819196245,0.48,0.2424,0.23759999999999998,0.4524,0.033600000000000005,1010.1389999999999,0.9652
6,COMPLETE,2.7592317548746514,112.33116919842674,3.228,1.6082,1.6198000000000001,1.7510000000000001,0.0814,1488.471,0.9172
7,COMPLETE,6.384379777158774,197.4144938119471,1.7318000000000002,0.8640000000000001,0.8678000000000001,0.5004,0.024399999999999998,1281.4142,0.9746
8,COMPLETE,2.675578885793872,98.42279628213758,3.2582,1.629,1.6292000000000002,2.0886,0.087,1473.8366,0.8997999999999999
9,COMPLETE,10.445017604456824,302.52541553210824,0.022,0.0114,0.0106,0.74,0.0498,897.5316,0.9494
10,COMPLETE,8.342779108635098,225.06861625090946,0.9034000000000001,0.43979999999999997,0.4636,0.6206,0.0396,1079.2959999999998,0.9544
11,COMPLETE,10.446533760445682,551.6296390652052,0.0206,0.0098,0.0108,0.8832000000000001,0.0516,893.9706,0.9460000000000001
12,COMPLETE,6.860856211699164,203.561877425502,1.5318,0.7575999999999999,0.7742,0.32320000000000004,0.025,1239.1894,0.9743999999999999
13,COMPLETE,10.472005682451254,4388.751952789861,0.011600000000000001,0.0056,0.006,0.7929999999999999,0.047799999999999995,899.3052,0.951
14,COMPLETE,10.460749359331476,1980.0803568863405,0.011,0.004,0.007000000000000001,0.9523999999999999,0.0616,876.4075999999999,0.9349999999999999
15,COMPLETE,10.464625236768802,1256.8659828772873,0.0098,0.005,0.0048000000000000004,1.1334,0.0654,877.9798000000001,0.9334
16,COMPLETE,10.479284568245125,2010.5360094802816,0.0036,0.0014,0.0021999999999999997,1.0584,0.0648,876.4708,0.9332
17,COMPLETE,10.452999164345403,1000.5820827168827,0.011,0.006,0.005,1.2948,0.0762,862.4959999999999,0.9202
18,COMPLETE,2.2933824512534824,90.23262052618064,3.4126,1.7100000000000002,1.7026,2.7634,0.11359999999999999,1480.664,0.8837999999999999
19,COMPLETE,10.458242674094707,4799.697875961659,0.0124,0.006,0.0064,1.035,0.0618,878.1906000000001,0.9336
20,COMPLETE,3.970322228412256,142.89535772731577,2.7332,1.3776,1.3556,0.819,0.051000000000000004,1441.9634,0.9484
21,COMPLETE,10.453886518105849,4622.833418831915,0.0106,0.0064,0.004200000000000001,1.4305999999999999,0.056999999999999995,862.2938,0.9238
22,COMPLETE,10.481080779944289,374.11291052097675,0.0064,0.0038,0.0026,0.7972,0.0524,892.26,0.9465999999999999
23,COMPLETE,10.477314763231197,574.8279241039236,0.008400000000000001,0.004200000000000001,0.004200000000000001,0.7712,0.048799999999999996,894.475,0.9474
24,COMPLETE,10.4550886908078,3397.4364468993285,0.018,0.0098,0.0082,0.7854,0.0508,897.6592,0.9484
25,COMPLETE,10.45460512534819,1268.4378643576354,0.017599999999999998,0.0104,0.0072,0.8082,0.054400000000000004,894.9961999999999,0.9446
26,COMPLETE,10.4712460724234,598.2354144013095,0.0086,0.0036,0.005,0.9112,0.0502,884.4792,0.9446
27,COMPLETE,10.449263676880223,615.0135829028029,0.0174,0.009600000000000001,0.0078,1.0068,0.056999999999999995,884.5108,0.9418
28,COMPLETE,1.9955325905292485,50.83889588874094,3.5296,1.7693999999999999,1.7602,3.2826,0.13240000000000002,1471.0610000000001,0.8634000000000001
29,COMPLETE,10.461374707520891,1053.749059479843,0.014000000000000002,0.0076,0.0064,0.8862,0.0546,890.9925999999999,0.944
30,COMPLETE,10.455937103064066,435.203113352681,0.0162,0.0086,0.0076,0.8023999999999999,0.0494,891.1046,0.9498
31,COMPLETE,10.473665013927578,871.893345455979,0.0073999999999999995,0.0038,0.0036,0.9862,0.0622,883.4361999999999,0.9362
32,COMPLETE,10.459731699164347,402.7600454155099,0.01,0.0046,0.0054,1.0078,0.0606,870.0934,0.93
33,COMPLETE,10.483654930362118,1636.632265720805,0.0064,0.0026,0.0038,0.8821999999999999,0.052000000000000005,896.8806000000001,0.9470000000000001
34,COMPLETE,10.461569415041783,2138.0719111603794,0.0098,0.0048000000000000004,0.005,1.1916,0.065,872.4946,0.9328
35,COMPLETE,10.464428913649025,1631.5506792007466,0.0094,0.005,0.004399999999999999,0.9252,0.059,875.8324,0.9376
36,COMPLETE,10.45507844011142,324.2898527008323,0.0152,0.008,0.0072,0.9906,0.053000000000000005,885.0758,0.9406000000000001
37,COMPLETE,10.464756490250696,396.15850973879986,0.011,0.005,0.006,0.8824,0.0566,883.6004,0.942
38,COMPLETE,10.469785013927577,957.8603939403201,0.0098,0.0046,0.0052,0.9884000000000001,0.0578,887.2416,0.942
39,COMPLETE,10.376669860724235,273.80496088653865,0.0496,0.026000000000000002,0.0236,0.7008,0.0508,898.7023999999999,0.9486000000000001
40,COMPLETE,10.473288077994429,524.9517643902407,0.010199999999999999,0.0052,0.005,0.8220000000000001,0.0524,895.3245999999999,0.9461999999999999
41,COMPLETE,6.243749470752089,198.65627543695823,1.7878,0.8904,0.8974,0.43520000000000003,0.0224,1280.2828,0.9704
42,COMPLETE,10.468276657381615,1542.0038308247306,0.008400000000000001,0.004399999999999999,0.004,0.8428000000000001,0.059399999999999994,878.2515999999999,0.9362
43,COMPLETE,9.35448774373259,231.13104834854587,0.48179999999999995,0.2448,0.23700000000000002,0.6402,0.0412,1003.383,0.9571999999999999
44,COMPLETE,10.459999610027854,2210.0870557165567,0.014199999999999999,0.0054,0.008799999999999999,0.7886,0.054400000000000004,889.4218000000001,0.9446
45,COMPLETE,10.456445682451251,683.7970872255695,0.0144,0.007000000000000001,0.0073999999999999995,0.9698,0.0586,883.9399999999999,0.9408
46,COMPLETE,10.474357103064067,491.05741371547,0.009600000000000001,0.0048000000000000004,0.0048000000000000004,0.8036,0.0498,894.551,0.9494
47,COMPLETE,10.45217426183844,518.9888063540145,0.014000000000000002,0.0072,0.0068000000000000005,1.2206,0.06760000000000001,874.4778,0.9289999999999999
48,COMPLETE,10.463517883008358,392.4453786519501,0.0092,0.005,0.004200000000000001,1.144,0.06939999999999999,873.2995999999999,0.9282
49,COMPLETE,10.473992033426185,1844.3582814570652,0.009,0.004399999999999999,0.0046,0.7516,0.047799999999999995,891.2031999999999,0.95
50,COMPLETE,10.467603621169918,2031.9856066786265,0.009,0.004,0.005,0.9794,0.0602,879.7360000000001,0.9359999999999999
51,COMPLETE,10.46707114206128,1694.4345504897824,0.0114,0.0064,0.005,0.9138,0.0608,889.5502,0.9385999999999999
52,COMPLETE,10.477431086350974,1787.368943472088,0.0048000000000000004,0.0028,0.002,1.0028000000000001,0.0588,878.5288,0.9398
53,COMPLETE,10.441815821727019,2995.2957208016564,0.0112,0.0038,0.0073999999999999995,1.7494,0.0698,843.3194,0.9109999999999999
54,COMPLETE,10.458784679665738,1192.8604369835705,0.0082,0.004200000000000001,0.004,1.4442,0.06860000000000001,860.316,0.9214
55,COMPLETE,10.460777381615598,897.7397488223962,0.0076,0.0036,0.004,1.057,0.0742,861.2004000000001,0.9242000000000001
56,COMPLETE,10.463302841225627,649.4978609714185,0.008799999999999999,0.0046,0.004200000000000001,1.248,0.0738,871.1186,0.9252
57,COMPLETE,10.441194484679666,421.6273623761515,0.009,0.0036,0.0054,1.6286,0.0624,832.3316000000001,0.9086000000000001
58,COMPLETE,10.464306852367686,854.5055462811099,0.0108,0.0058000000000000005,0.005,0.9532,0.065,881.8958,0.9343999999999999
59,COMPLETE,10.451435710306408,333.87750358265714,0.0174,0.0082,0.0092,0.9688000000000001,0.0506,888.4096,0.9433999999999999
60,COMPLETE,10.47032495821727,804.4756115836356,0.009,0.0038,0.0052,1.0698,0.05639999999999999,884.6208,0.9414
61,COMPLETE,10.483109192200557,2519.22600009149,0.0072,0.0038,0.0034000000000000002,0.7952,0.051000000000000004,899.491,0.9480000000000001
62,COMPLETE,8.854456155988858,231.1880709658643,0.692,0.352,0.33999999999999997,0.4286,0.035199999999999995,1049.0988,0.9621999999999999
63,COMPLETE,10.457834651810584,810.1023193817879,0.0128,0.0068000000000000005,0.006,0.9124000000000001,0.054200000000000005,879.2531999999999,0.9390000000000001
64,COMPLETE,10.4583843454039,485.86895168733207,0.012199999999999999,0.0062,0.006,0.9318,0.0504,877.5474,0.9396000000000001
65,COMPLETE,10.46998913649025,1249.147719822403,0.0078,0.0048000000000000004,0.003,1.1064,0.0616,878.633,0.9368000000000001
66,COMPLETE,10.463107409470751,413.7756757818785,0.0124,0.006,0.0064,0.8792,0.0508,886.9227999999999,0.9433999999999999
67,COMPLETE,10.481706406685237,488.9319474078762,0.0052,0.003,0.0021999999999999997,0.869,0.0576,887.9979999999999,0.942
