Number,State,Value,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_EarlyBird,UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,101.33021855153204,2573.6021368970655,253.56654443800232,0.0498,1.737,0.865,0.8720000000000001,0.865,0.8720000000000001,1.955,0.0982,1171.6298000000002,0.9006000000000001
1,COMPLETE,56.84117364902507,513.3603097718657,1522.6311376672802,0.5316,0.0106,0.0072,0.0034000000000000002,0.0072,0.0034000000000000002,21.9816,0.2798,49.6742,0.1728
2,COMPLETE,10.436835041782732,216.94121166803112,678.0328694491418,1.0002,0.0046,0.0026,0.002,0.0026,0.002,1.666,0.1048,840.6614,0.893
3,COMPLETE,75.28420362116992,1079.81341116761,1115.2436062457828,0.3458,0.0254,0.013000000000000001,0.0124,0.013000000000000001,0.0124,27.7094,0.30019999999999997,-129.772,0.0
4,COMPLETE,10.462342896935933,365.3340830905546,1083.8037642348493,1.0,0.0034000000000000002,0.0014,0.002,0.0014,0.002,1.5196,0.1032,845.1629999999999,0.8966
5,COMPLETE,10.431185738161561,240.4601042074305,956.4824087103464,1.0002,0.0048000000000000004,0.0028,0.002,0.0028,0.002,1.8274000000000001,0.1162,831.4183999999999,0.8834
6,COMPLETE,96.79308440111421,2420.356279809879,53.37690634988132,0.0518,3.531,1.763,1.768,1.763,1.768,3.3514000000000004,0.16140000000000002,1437.049,0.8380000000000001
7,COMPLETE,96.31354462395544,934.7412965944199,150.80874199307434,0.07680000000000001,2.7096,1.3458,1.3638,1.3458,1.3638,2.1094,0.096,1377.7426,0.9023999999999999
8,COMPLETE,10.45300590529248,263.2214093016818,3475.764414186264,1.0,0.006,0.0034000000000000002,0.0026,0.0034000000000000002,0.0026,1.6292000000000002,0.10740000000000001,840.0706,0.8926000000000001
9,COMPLETE,90.00584913649024,179.5255317069669,139.07007851000884,0.13440000000000002,2.9424,1.4862,1.4562,1.4862,1.4562,1.7329999999999999,0.0958,1439.3192,0.9042
10,COMPLETE,10.28052557103064,157.67561685699556,420.2543188472447,1.0,0.0888,0.045200000000000004,0.0436,0.045200000000000004,0.0436,0.8402,0.06520000000000001,902.0334,0.9339999999999999
11,COMPLETE,93.79545086350974,560.6698092285467,107.50673752723024,0.0876,3.2978,1.6712,1.6265999999999998,1.6712,1.6265999999999998,2.7214,0.13779999999999998,1435.9118,0.8622
12,COMPLETE,25.041388857938713,260.2273001737662,452.3983009883842,0.8492000000000001,0.21600000000000003,0.10740000000000001,0.1086,0.10740000000000001,0.1086,0.9823999999999999,0.0862,899.993,0.9138
13,COMPLETE,10.428992980501393,151.6959562554674,572.5772680239851,1.0,0.0188,0.0092,0.009600000000000001,0.0092,0.009600000000000001,1.3981999999999999,0.0954,854.4074,0.9044000000000001
14,COMPLETE,10.459441058495822,136.09875487219608,2093.0276225800717,1.0,0.0034000000000000002,0.0014,0.002,0.0014,0.002,1.5352000000000001,0.1082,839.9541999999999,0.8914
15,COMPLETE,10.463277437325907,115.32314533674528,939.8277126219253,1.0,0.004399999999999999,0.0021999999999999997,0.0021999999999999997,0.0021999999999999997,0.0021999999999999997,1.5948,0.0986,851.3280000000001,0.9012
16,COMPLETE,21.780211866295268,398.43582599178535,4835.834097856781,0.8855999999999999,0.005,0.0026,0.0024000000000000002,0.0026,0.0024000000000000002,6.8578,0.1564,633.1178,0.7132
17,COMPLETE,10.458122841225627,152.91710788958576,1114.6242911571935,1.0,0.0046,0.0024000000000000002,0.0021999999999999997,0.0024000000000000002,0.0021999999999999997,1.6654,0.1062,842.973,0.8936
18,COMPLETE,10.250618997214485,119.11191451523257,411.7175149827013,0.999,0.14179999999999998,0.074,0.0678,0.074,0.0678,0.806,0.0696,906.6886000000001,0.9296
19,COMPLETE,100.81433264623956,939.3975173031482,280.6262588649376,0.0588,1.5737999999999999,0.8026,0.7712,0.8026,0.7712,1.8634,0.1078,1128.7546,0.89
20,COMPLETE,10.459300445682452,51.389014786940336,795.5092122750773,1.0,0.0058000000000000005,0.0021999999999999997,0.0036,0.0021999999999999997,0.0036,1.4424,0.0974,850.4718,0.8996000000000001
21,COMPLETE,95.00960016713093,295.7424964320721,254.23704611735502,0.1102,1.8614000000000002,0.9339999999999999,0.9273999999999999,0.9339999999999999,0.9273999999999999,1.4380000000000002,0.0866,1226.1648,0.9134
22,COMPLETE,9.777530974930354,58.55311317700163,294.4041164756957,0.9974000000000001,0.41180000000000005,0.20339999999999997,0.2084,0.20339999999999997,0.2084,0.7692,0.0578,981.9206,0.942
23,COMPLETE,10.949910194986078,257.2252257175486,638.2937676472046,0.9945999999999999,0.027600000000000003,0.0118,0.0158,0.0118,0.0158,1.1880000000000002,0.0876,859.6438,0.9119999999999999
24,COMPLETE,92.32327793871868,374.2644331096244,71.77770816522964,0.0982,3.4654000000000003,1.7292,1.7361999999999997,1.7292,1.7361999999999997,3.3328,0.1486,1448.1664,0.8513999999999999
25,COMPLETE,103.53772529247911,3108.322736279491,439.61927502503823,0.043,1.0882,0.5509999999999999,0.5372,0.5509999999999999,0.5372,2.3342,0.1186,1002.0144,0.8779999999999999
26,COMPLETE,96.09155136490251,3594.6977413131954,56.43451620966903,0.0608,3.4341999999999997,1.7164000000000001,1.7178,1.7164000000000001,1.7178,4.7387999999999995,0.20099999999999998,1358.9072,0.7936
27,COMPLETE,78.1272026183844,3696.865626643573,4337.867779495299,0.3176,0.012199999999999999,0.006,0.0062,0.006,0.0062,30.424,0.27240000000000003,-147.7238,0.0
28,COMPLETE,97.65659832869082,3756.189451532388,182.4331701176579,0.071,2.3872,1.206,1.1812,1.206,1.1812,2.1597999999999997,0.0994,1300.654,0.8966
