Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,10.784489999999998,0.308,1.794,1.79,6.098,0.205,1389.449,0.795
1,COMPLETE,13.09027,0.141,1.813,1.806,4.356,0.159,1451.027,0.838
2,COMPLETE,12.76229,0.137,1.773,1.764,5.474,0.174,1413.229,0.823
3,COMPLETE,12.80775,0.145,1.822,1.818,5.055,0.17,1426.775,0.826
4,COMPLETE,10.457510000000001,0.388,1.826,1.813,5.16,0.179,1434.751,0.821
5,COMPLETE,11.40293,0.319,1.781,1.794,4.069,0.138,1459.293,0.857
6,COMPLETE,12.63174,0.156,1.81,1.785,5.217,0.181,1419.174,0.817
7,COMPLETE,12.3265,0.213,1.793,1.785,4.311,0.155,1445.65,0.843
8,COMPLETE,12.178130000000001,0.187,1.756,1.784,5.864,0.181,1404.813,0.817
9,COMPLETE,12.86009,0.162,1.84,1.865,4.483,0.16,1448.009,0.834
10,COMPLETE,12.523399999999999,0.163,1.805,1.793,5.42,0.181,1415.34,0.817
11,COMPLETE,13.157969999999999,0.129,1.799,1.786,4.714,0.155,1444.797,0.841
