Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,11.43759,0.294,1.815,1.807,5.045,0.175,1439.759,0.825
1,COMPLETE,11.45634,0.142,1.736,1.743,7.951,0.257,1288.634,0.739
2,COMPLETE,13.93581,0.087,1.823,1.829,4.01,0.147,1480.581,0.853
3,COMPLETE,11.78948,0.273,1.849,1.854,4.892,0.18,1453.948,0.819
4,COMPLETE,12.17927,0.173,1.811,1.797,6.407,0.203,1391.927,0.795
5,COMPLETE,11.632729999999999,0.289,1.827,1.836,4.855,0.175,1455.273,0.825
6,COMPLETE,12.09053,0.263,1.844,1.822,4.584,0.154,1473.053,0.845
7,COMPLETE,10.9982,0.351,1.843,1.85,5.366,0.176,1454.82,0.824
8,COMPLETE,13.796610000000001,0.093,1.852,1.835,4.073,0.156,1472.661,0.841
9,COMPLETE,13.00688,0.217,1.864,1.81,3.694,0.121,1517.688,0.873
10,COMPLETE,13.34409,0.099,1.802,1.785,4.633,0.172,1433.409,0.827
11,COMPLETE,12.67952,0.132,1.806,1.805,6.334,0.195,1400.952,0.804
