Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,13.7516,0.076,1.806,1.728,3.789,0.154,1451.16,0.846
1,COMPLETE,12.875950000000001,0.074,1.659,1.732,4.759,0.189,1362.595,0.805
2,COMPLETE,12.98334,0.094,1.775,1.739,4.911,0.192,1392.334,0.807
3,COMPLETE,13.6009,0.068,1.795,1.829,4.194,0.187,1428.09,0.812
4,COMPLETE,13.79014,0.034,1.761,1.729,4.138,0.168,1414.014,0.832
5,COMPLETE,13.83169,0.073,1.803,1.803,4.215,0.159,1456.169,0.841
6,COMPLETE,13.680620000000001,0.053,1.727,1.773,4.119,0.169,1421.062,0.83
7,COMPLETE,13.95046,0.057,1.777,1.781,3.297,0.158,1452.046,0.842
8,COMPLETE,13.623650000000001,0.038,1.773,1.768,4.15,0.188,1401.365,0.81
9,COMPLETE,14.13907,0.063,1.833,1.831,3.331,0.152,1476.907,0.848
10,COMPLETE,13.43301,0.099,1.807,1.732,3.951,0.164,1442.301,0.836
11,COMPLETE,13.362110000000001,0.064,1.754,1.752,4.849,0.186,1400.211,0.812
