Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,14.092670000000002,0.073,1.837,1.835,3.236,0.151,1482.267,0.849
1,COMPLETE,13.23566,0.092,1.77,1.753,4.082,0.188,1415.566,0.811
2,COMPLETE,13.74672,0.105,1.808,1.849,3.274,0.156,1479.672,0.844
3,COMPLETE,13.97977,0.08,1.783,1.769,3.262,0.138,1478.977,0.862
4,COMPLETE,13.43515,0.082,1.748,1.735,4.295,0.16,1425.515,0.84
5,COMPLETE,14.11515,0.074,1.791,1.813,3.093,0.136,1485.515,0.864
6,COMPLETE,13.733669999999998,0.062,1.78,1.786,3.759,0.177,1435.367,0.822
7,COMPLETE,12.4745,0.225,1.793,1.813,3.191,0.158,1472.45,0.842
8,COMPLETE,13.29,0.067,1.795,1.761,4.869,0.193,1396.0,0.803
9,COMPLETE,13.343020000000001,0.093,1.783,1.744,4.466,0.176,1427.302,0.824
10,COMPLETE,13.7201,0.102,1.817,1.839,3.553,0.16,1474.01,0.84
11,COMPLETE,12.64976,0.173,1.81,1.761,4.197,0.172,1437.976,0.827
