Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
0,0,1,1145.0,0,1,0,1,win
0,0,1,1116.0,0,1,0,1,win
0,0,1,-38.0,0,1,0,1,lose
0,0,1,1138.0,0,1,0,1,win
0,0,1,1083.0,0,1,0,1,win
1,0,0,1118.0,0,1,1,0,win
1,0,0,1117.0,0,1,1,0,win
0,0,1,1120.0,0,1,0,1,win
0,0,1,60.0,0,1,0,1,lose
1,0,0,19.0,0,1,1,0,lose
1,0,0,1154.0,0,1,1,0,win
0,0,1,1152.0,0,1,0,1,win
0,0,1,1055.0,0,1,0,1,win
1,0,1,1311.0,0,2,1,1,win
1,0,0,58.0,0,1,1,0,lose
0,0,1,68.0,0,1,0,1,lose
1,0,0,1050.0,0,1,1,0,win
0,0,1,1139.0,0,1,0,1,win
0,0,1,1134.0,0,1,0,1,win
1,0,0,92.0,0,1,1,0,lose
1,0,0,1103.0,0,1,1,0,win
0,0,1,1139.0,0,1,0,1,win
1,0,0,1137.0,0,1,1,0,win
1,0,1,1262.0,0,2,1,1,win
1,0,0,440.0,0,1,1,0,timeout
1,0,0,1097.0,0,1,1,0,win
0,0,1,1144.0,0,1,0,1,win
1,0,0,1140.0,0,1,1,0,win
0,0,1,1112.0,0,1,0,1,win
1,0,0,1107.0,0,1,1,0,win
0,0,1,1146.0,0,1,0,1,win
0,0,1,1103.0,0,1,0,1,win
1,0,0,1131.0,0,1,1,0,win
1,0,0,1130.0,0,1,1,0,win
0,0,1,1101.0,0,1,0,1,win
0,0,1,1050.0,0,1,0,1,win
1,0,1,1347.0,0,2,1,1,win
1,0,0,63.0,0,1,1,0,lose
1,0,0,1123.0,0,1,1,0,win
1,0,1,1322.0,0,2,1,1,win
1,0,0,430.0,0,1,1,0,timeout
0,0,1,1116.0,0,1,0,1,win
1,0,0,978.0,0,1,1,0,win
1,0,1,192.0,0,2,1,1,lose
1,0,0,1110.0,0,1,1,0,win
0,0,1,1129.0,0,1,0,1,win
1,0,0,1087.0,0,1,1,0,win
0,0,1,1129.0,0,1,0,1,win
1,0,0,1099.0,0,1,1,0,win
0,0,1,1117.0,0,1,0,1,win
0,0,1,1175.0,0,1,0,1,win
1,0,0,-3.0,0,1,1,0,lose
1,0,0,1078.0,0,1,1,0,win
0,0,1,1131.0,0,1,0,1,win
1,0,0,1001.0,0,1,1,0,win
0,0,1,1132.0,0,1,0,1,win
1,0,0,1081.0,0,1,1,0,win
1,0,0,1132.0,0,1,1,0,win
0,0,1,1066.0,0,1,0,1,win
0,0,1,1150.0,0,1,0,1,win
1,0,0,1056.0,0,1,1,0,win
1,0,0,1110.0,0,1,1,0,win
0,0,1,1126.0,0,1,0,1,win
0,0,1,1105.0,0,1,0,1,win
1,0,0,1107.0,0,1,1,0,win
0,0,1,1138.0,0,1,0,1,win
1,0,0,1065.0,0,1,1,0,win
0,0,1,1105.0,0,1,0,1,win
1,0,0,1166.0,0,1,1,0,win
1,0,1,1360.0,0,2,1,1,win
0,0,1,1094.0,0,1,0,1,win
1,0,0,1065.0,0,1,1,0,win
1,0,0,24.0,0,1,1,0,lose
1,0,0,1051.0,0,1,1,0,win
0,0,1,1139.0,0,1,0,1,win
1,0,0,78.0,0,1,1,0,lose
0,0,1,1066.0,0,1,0,1,win
1,0,0,1149.0,0,1,1,0,win
1,0,1,1295.0,0,2,1,1,win
0,0,1,979.0,0,1,0,1,win
1,0,0,1118.0,0,1,1,0,win
0,0,1,1003.0,0,1,0,1,win
0,0,1,-41.0,0,1,0,1,lose
0,0,1,1120.0,0,1,0,1,win
0,0,1,1045.0,0,1,0,1,win
0,0,1,132.0,0,1,0,1,lose
1,0,0,1098.0,0,1,1,0,win
0,0,1,1011.0,0,1,0,1,win
0,0,1,1081.0,0,1,0,1,win
1,0,0,1145.0,0,1,1,0,win
0,0,1,1120.0,0,1,0,1,win
0,0,1,1087.0,0,1,0,1,win
0,0,1,1146.0,0,1,0,1,win
0,0,1,1091.0,0,1,0,1,win
1,0,0,1080.0,0,1,1,0,win
0,0,1,440.0,0,1,0,1,timeout
1,0,0,90.0,0,1,1,0,lose
1,0,0,1132.0,0,1,1,0,win
1,0,0,1151.0,0,1,1,0,win
0,0,1,1100.0,0,1,0,1,win
1,0,0,1111.0,0,1,1,0,win
1,0,0,1082.0,0,1,1,0,win
0,0,1,1128.0,0,1,0,1,win
1,0,0,30.0,0,1,1,0,lose
1,0,0,1143.0,0,1,1,0,win
0,0,1,-93.0,0,1,0,1,lose
1,0,0,1152.0,0,1,1,0,win
0,0,1,1109.0,0,1,0,1,win
0,0,1,1119.0,0,1,0,1,win
1,0,0,1148.0,0,1,1,0,win
0,0,1,1114.0,0,1,0,1,win
0,0,1,1074.0,0,1,0,1,win
0,0,1,1114.0,0,1,0,1,win
1,0,0,1079.0,0,1,1,0,win
1,0,0,1092.0,0,1,1,0,win
1,0,0,1114.0,0,1,1,0,win
0,0,1,1099.0,0,1,0,1,win
1,0,0,1114.0,0,1,1,0,win
0,0,1,-135.0,0,1,0,1,lose
0,0,1,1101.0,0,1,0,1,win
1,0,0,1149.0,0,1,1,0,win
1,0,0,-125.0,0,1,1,0,lose
0,0,1,82.0,0,1,0,1,lose
0,0,1,1129.0,0,1,0,1,win
1,0,0,-4.0,0,1,1,0,lose
0,0,1,1030.0,0,1,0,1,win
0,0,1,1056.0,0,1,0,1,win
1,0,1,1358.0,0,2,1,1,win
0,0,1,1098.0,0,1,0,1,win
1,0,0,1131.0,0,1,1,0,win
1,0,1,1334.0,0,2,1,1,win
0,0,1,1147.0,0,1,0,1,win
0,0,1,1160.0,0,1,0,1,win
0,0,1,-129.0,0,1,0,1,lose
1,0,0,1086.0,0,1,1,0,win
0,0,1,1147.0,0,1,0,1,win
1,0,1,333.0,0,2,1,1,lose
1,0,0,1108.0,0,1,1,0,win
1,0,0,1141.0,0,1,1,0,win
1,0,0,1132.0,0,1,1,0,win
0,0,1,1110.0,0,1,0,1,win
1,0,0,1136.0,0,1,1,0,win
0,0,1,1124.0,0,1,0,1,win
1,0,0,1133.0,0,1,1,0,win
1,0,0,1147.0,0,1,1,0,win
1,0,0,1156.0,0,1,1,0,win
1,0,0,950.0,0,1,1,0,win
0,1,0,-510.0,0,0,0,0,lose
0,0,1,-30.0,0,1,0,1,lose
0,0,1,1164.0,0,1,0,1,win
0,0,1,1136.0,0,1,0,1,win
0,0,1,63.0,0,1,0,1,lose
0,0,1,1053.0,0,1,0,1,win
1,0,0,1116.0,0,1,1,0,win
1,0,0,1157.0,0,1,1,0,win
1,0,0,1008.0,0,1,1,0,win
1,0,0,-70.0,0,1,1,0,lose
0,0,1,-53.0,0,1,0,1,lose
1,0,0,-173.0,0,1,1,0,lose
1,0,0,1171.0,0,1,1,0,win
1,0,1,1333.0,0,2,1,1,win
1,0,0,1114.0,0,1,1,0,win
1,0,0,1123.0,0,1,1,0,win
0,0,1,1066.0,0,1,0,1,win
0,0,1,1132.0,0,1,0,1,win
1,0,0,1074.0,0,1,1,0,win
1,0,1,1295.0,0,2,1,1,win
0,0,1,1142.0,0,1,0,1,win
0,0,1,1099.0,0,1,0,1,win
1,0,0,1123.0,0,1,1,0,win
1,0,0,1140.0,0,1,1,0,win
1,0,0,114.0,0,1,1,0,lose
0,0,1,1144.0,0,1,0,1,win
1,0,0,1114.0,0,1,1,0,win
1,0,0,1036.0,0,1,1,0,win
1,0,0,1120.0,0,1,1,0,win
0,0,1,1025.0,0,1,0,1,win
1,0,0,1096.0,0,1,1,0,win
0,0,1,1109.0,0,1,0,1,win
0,0,1,1124.0,0,1,0,1,win
0,0,1,995.0,0,1,0,1,win
0,0,1,1058.0,0,1,0,1,win
1,0,0,1119.0,0,1,1,0,win
0,0,1,1052.0,0,1,0,1,win
0,0,1,96.0,0,1,0,1,lose
0,0,1,1123.0,0,1,0,1,win
0,0,1,1045.0,0,1,0,1,win
1,0,0,1143.0,0,1,1,0,win
1,0,0,964.0,0,1,1,0,win
0,0,1,-141.0,0,1,0,1,lose
1,0,0,1045.0,0,1,1,0,win
0,0,1,1010.0,0,1,0,1,win
1,0,0,1093.0,0,1,1,0,win
0,0,1,1090.0,0,1,0,1,win
1,0,0,1128.0,0,1,1,0,win
0,0,1,1045.0,0,1,0,1,win
0,0,1,1120.0,0,1,0,1,win
1,0,0,1135.0,0,1,1,0,win
0,0,1,1126.0,0,1,0,1,win
0,0,1,1122.0,0,1,0,1,win
1,0,0,1080.0,0,1,1,0,win
1,0,1,1323.0,0,2,1,1,win
1,0,0,1113.0,0,1,1,0,win
1,0,0,1127.0,0,1,1,0,win
0,0,1,1078.0,0,1,0,1,win
1,0,0,1027.0,0,1,1,0,win
1,0,0,1078.0,0,1,1,0,win
0,0,1,118.0,0,1,0,1,lose
0,0,1,1118.0,0,1,0,1,win
1,0,0,1129.0,0,1,1,0,win
1,0,0,1028.0,0,1,1,0,win
0,0,1,1130.0,0,1,0,1,win
1,0,0,1162.0,0,1,1,0,win
1,0,0,992.0,0,1,1,0,win
0,0,1,1039.0,0,1,0,1,win
0,0,1,1130.0,0,1,0,1,win
1,0,0,956.0,0,1,1,0,win
1,0,0,1128.0,0,1,1,0,win
1,0,0,-178.0,0,1,1,0,lose
1,0,0,-175.0,0,1,1,0,lose
1,0,0,1127.0,0,1,1,0,win
1,0,0,1104.0,0,1,1,0,win
