Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,1101.0,0,1,1,0,win
1,0,0,1088.0,0,1,1,0,win
0,0,1,1122.0,0,1,0,1,win
1,0,0,-71.0,0,1,1,0,lose
1,0,0,1143.0,0,1,1,0,win
1,0,1,120.0,0,2,1,1,lose
1,0,1,1350.0,0,2,1,1,win
0,0,1,1145.0,0,1,0,1,win
1,0,0,1146.0,0,1,1,0,win
1,0,0,1110.0,0,1,1,0,win
1,0,0,1151.0,0,1,1,0,win
1,1,0,1094.0,0,1,1,0,win
0,0,1,1166.0,0,1,0,1,win
1,0,0,1105.0,0,1,1,0,win
1,0,0,1137.0,0,1,1,0,win
1,0,0,1085.0,0,1,1,0,win
0,0,1,1108.0,0,1,0,1,win
0,0,1,1096.0,0,1,0,1,win
0,0,1,1142.0,0,1,0,1,win
1,0,0,1127.0,0,1,1,0,win
0,0,1,1134.0,0,1,0,1,win
1,0,0,1103.0,0,1,1,0,win
1,0,1,1340.0,0,2,1,1,win
0,0,1,1107.0,0,1,0,1,win
1,0,0,1126.0,0,1,1,0,win
0,0,1,1157.0,0,1,0,1,win
0,0,1,1156.0,0,1,0,1,win
0,0,1,1130.0,0,1,0,1,win
0,0,1,-65.0,0,1,0,1,lose
0,0,1,1106.0,0,1,0,1,win
1,0,0,-18.0,0,1,1,0,lose
1,0,1,-54.0,0,2,1,1,lose
2,0,1,1548.0,0,3,2,1,win
0,0,1,1105.0,0,1,0,1,win
1,0,0,1145.0,0,1,1,0,win
2,0,0,1357.0,0,2,2,0,win
1,0,0,1118.0,0,1,1,0,win
0,0,1,1118.0,0,1,0,1,win
1,0,0,1100.0,0,1,1,0,win
1,0,0,1119.0,0,1,1,0,win
0,0,1,1133.0,0,1,0,1,win
1,0,0,1138.0,0,1,1,0,win
0,0,1,1133.0,0,1,0,1,win
0,0,1,-137.0,0,1,0,1,lose
1,0,1,174.0,0,2,1,1,lose
0,0,1,1038.0,0,1,0,1,win
0,0,1,1114.0,0,1,0,1,win
1,0,0,1140.0,0,1,1,0,win
0,0,1,1123.0,0,1,0,1,win
0,0,1,-103.0,0,1,0,1,lose
1,0,0,1113.0,0,1,1,0,win
1,0,0,1177.0,0,1,1,0,win
1,0,0,1094.0,0,1,1,0,win
1,0,0,1028.0,0,1,1,0,win
1,0,0,-54.0,0,1,1,0,lose
1,0,0,1167.0,0,1,1,0,win
1,0,0,1040.0,0,1,1,0,win
0,0,1,1141.0,0,1,0,1,win
0,0,1,1161.0,0,1,0,1,win
1,0,1,1281.0,0,2,1,1,win
1,0,0,1019.0,0,1,1,0,win
1,0,0,1018.0,0,1,1,0,win
1,0,0,1164.0,0,1,1,0,win
1,0,0,1075.0,0,1,1,0,win
0,1,0,-425.0,0,0,0,0,lose
1,0,0,-106.0,0,1,1,0,lose
1,0,0,1124.0,0,1,1,0,win
1,0,0,1156.0,0,1,1,0,win
1,0,1,1374.0,0,2,1,1,win
1,0,0,1149.0,0,1,1,0,win
0,0,1,1100.0,0,1,0,1,win
0,0,1,1101.0,0,1,0,1,win
1,0,0,1148.0,0,1,1,0,win
1,0,0,-122.0,0,1,1,0,lose
1,0,0,1151.0,0,1,1,0,win
0,0,1,1077.0,0,1,0,1,win
0,0,1,44.0,0,1,0,1,lose
0,0,1,1155.0,0,1,0,1,win
1,0,0,-179.0,0,1,1,0,lose
0,0,1,1126.0,0,1,0,1,win
0,0,1,1134.0,0,1,0,1,win
0,0,1,1119.0,0,1,0,1,win
0,0,1,1155.0,0,1,0,1,win
1,0,0,1095.0,0,1,1,0,win
1,0,0,-69.0,0,1,1,0,lose
0,0,1,1130.0,0,1,0,1,win
1,0,1,1333.0,0,2,1,1,win
1,0,0,1101.0,0,1,1,0,win
1,0,0,1137.0,0,1,1,0,win
0,0,1,1040.0,0,1,0,1,win
0,0,1,1041.0,0,1,0,1,win
0,0,1,1064.0,0,1,0,1,win
0,0,1,1078.0,0,1,0,1,win
1,0,0,1147.0,0,1,1,0,win
0,0,1,-34.0,0,1,0,1,lose
1,0,0,1158.0,0,1,1,0,win
0,0,1,1120.0,0,1,0,1,win
1,0,0,1104.0,0,1,1,0,win
0,0,1,1163.0,0,1,0,1,win
0,0,1,104.0,0,1,0,1,lose
1,0,0,1141.0,0,1,1,0,win
0,0,1,1134.0,0,1,0,1,win
1,0,0,1148.0,0,1,1,0,win
0,0,1,1092.0,0,1,0,1,win
1,0,0,1142.0,0,1,1,0,win
1,0,0,1123.0,0,1,1,0,win
1,0,0,1148.0,0,1,1,0,win
0,0,1,1150.0,0,1,0,1,win
0,0,1,1109.0,0,1,0,1,win
1,0,0,1108.0,0,1,1,0,win
0,0,1,1125.0,0,1,0,1,win
0,0,1,1165.0,0,1,0,1,win
1,0,1,1269.0,0,2,1,1,win
1,0,0,1166.0,0,1,1,0,win
0,0,1,1053.0,0,1,0,1,win
1,0,0,1152.0,0,1,1,0,win
1,0,0,1110.0,0,1,1,0,win
1,0,0,1049.0,0,1,1,0,win
1,0,0,1133.0,0,1,1,0,win
0,0,1,1091.0,0,1,0,1,win
1,0,0,1086.0,0,1,1,0,win
0,0,1,1006.0,0,1,0,1,win
0,0,1,1127.0,0,1,0,1,win
1,0,0,-190.0,0,1,1,0,lose
1,0,0,-218.0,0,1,1,0,lose
0,0,1,1093.0,0,1,0,1,win
0,1,0,-481.0,0,0,0,0,lose
1,0,0,1069.0,0,1,1,0,win
0,0,1,1094.0,0,1,0,1,win
1,0,0,1120.0,0,1,1,0,win
1,0,0,1138.0,0,1,1,0,win
0,0,1,1036.0,0,1,0,1,win
1,0,0,-218.0,0,1,1,0,lose
0,1,1,1004.0,0,1,0,1,win
0,0,1,1136.0,0,1,0,1,win
1,0,0,1113.0,0,1,1,0,win
1,0,0,99.0,0,1,1,0,lose
0,0,1,1015.0,0,1,0,1,win
1,0,1,1310.0,0,2,1,1,win
1,0,1,1304.0,0,2,1,1,win
0,0,1,6.0,0,1,0,1,lose
1,0,0,1092.0,0,1,1,0,win
1,0,0,77.0,0,1,1,0,lose
0,0,1,1163.0,0,1,0,1,win
1,0,0,71.0,0,1,1,0,lose
1,0,0,50.0,0,1,1,0,lose
0,0,1,1160.0,0,1,0,1,win
0,0,1,1096.0,0,1,0,1,win
