Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,0,1,1094.0,0,1,1,0,win
1,0,0,0,1,1153.0,0,1,1,0,win
0,0,0,1,1,1076.0,0,1,0,1,win
1,0,0,0,1,1148.0,0,1,1,0,win
0,0,0,1,1,1108.0,0,1,0,1,win
1,0,0,0,1,1143.0,0,1,1,0,win
1,0,0,1,2,1307.0,0,2,1,1,win
0,0,1,0,0,-507.0,0,0,0,0,lose
1,0,0,0,1,1138.0,0,1,1,0,win
0,0,0,1,1,1067.0,0,1,0,1,win
1,0,0,0,1,1128.0,0,1,1,0,win
1,0,0,0,1,997.0,0,1,1,0,win
1,0,0,1,2,1344.0,0,2,1,1,win
0,0,0,1,1,1138.0,0,1,0,1,win
1,0,0,0,1,1139.0,0,1,1,0,win
1,0,0,0,1,1106.0,0,1,1,0,win
1,0,0,0,1,1101.0,0,1,1,0,win
0,0,0,1,1,1051.0,0,1,0,1,win
1,0,0,0,1,65.0,0,1,1,0,lose
1,0,0,0,1,1158.0,0,1,1,0,win
0,0,0,1,1,1134.0,0,1,0,1,win
0,0,0,1,1,1091.0,0,1,0,1,win
0,0,0,1,1,1136.0,0,1,0,1,win
1,0,0,0,1,1101.0,0,1,1,0,win
0,0,1,1,1,1091.0,0,1,0,1,win
0,0,0,1,1,1146.0,0,1,0,1,win
0,0,0,1,1,1158.0,0,1,0,1,win
0,0,1,1,1,1112.0,0,1,0,1,win
1,0,0,2,3,1487.0,0,3,1,2,win
1,0,0,0,1,1011.0,0,1,1,0,win
0,0,0,1,1,1079.0,0,1,0,1,win
1,0,0,1,2,1314.0,0,2,1,1,win
1,0,0,0,1,1158.0,0,1,1,0,win
1,0,0,0,1,1076.0,0,1,1,0,win
0,0,0,1,1,1125.0,0,1,0,1,win
0,0,0,1,1,-189.0,0,1,0,1,lose
1,0,0,0,1,1109.0,0,1,1,0,win
0,0,0,1,1,1162.0,0,1,0,1,win
0,0,0,1,1,1147.0,0,1,0,1,win
