Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,VegetarianBlue,VegetarianOrange,Win/Lose
2,4,1,2,8,1765.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,4,0,2,8,1744.0,0,2,2,win
2,4,0,2,8,1758.0,0,2,2,win
2,4,1,2,8,1759.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,4,1,2,8,1766.0,0,2,2,win
1,2,1,1,4,14.0,0,1,1,lose
2,4,1,2,8,1741.0,0,2,2,win
1,3,1,2,6,1572.0,0,1,2,win
2,4,0,2,8,1748.0,0,2,2,win
2,3,1,2,7,1768.0,0,2,2,win
2,3,1,1,6,1555.0,0,2,1,win
2,4,1,2,8,1749.0,0,2,2,win
2,4,0,2,8,1768.0,0,2,2,win
2,4,1,2,8,1771.0,0,2,2,win
1,1,0,0,2,-180.0,0,1,0,lose
2,4,1,2,8,1771.0,0,2,2,win
2,3,1,2,7,1772.0,0,2,2,win
2,3,1,1,6,422.0,0,2,1,lose
2,4,0,2,8,1751.0,0,2,2,win
2,4,0,2,8,1697.0,0,2,2,win
2,3,1,2,7,1766.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,4,1,2,8,1776.0,0,2,2,win
2,3,1,2,7,1744.0,0,2,2,win
2,3,1,2,7,1774.0,0,2,2,win
2,4,0,2,8,1775.0,0,2,2,win
2,4,1,2,8,1752.0,0,2,2,win
2,3,1,1,6,1558.0,0,2,1,win
2,4,1,2,8,1755.0,0,2,2,win
2,3,1,1,6,518.0,0,2,1,lose
2,4,1,2,8,1750.0,0,2,2,win
2,4,1,2,8,1710.0,0,2,2,win
2,4,1,2,8,1768.0,0,2,2,win
2,3,1,2,7,1768.0,0,2,2,win
2,4,1,2,8,1727.0,0,2,2,win
1,2,1,1,4,207.0,0,1,1,lose
2,4,1,2,8,1769.0,0,2,2,win
2,3,1,2,7,1733.0,0,2,2,win
2,4,1,2,8,1751.0,0,2,2,win
2,4,0,2,8,1763.0,0,2,2,win
2,3,1,2,7,1762.0,0,2,2,win
2,3,1,1,6,1545.0,0,2,1,win
1,3,1,2,6,359.0,0,1,2,lose
1,3,1,2,6,1546.0,0,1,2,win
2,4,1,2,8,1762.0,0,2,2,win
1,1,1,2,4,1416.0,0,1,2,win
2,4,0,2,8,1747.0,0,2,2,win
2,3,0,1,6,1553.0,0,2,1,win
2,4,1,2,8,1764.0,0,2,2,win
2,2,1,1,5,1549.0,0,2,1,win
2,4,0,2,8,1757.0,0,2,2,win
2,3,1,2,7,1712.0,0,2,2,win
2,2,1,1,5,1528.0,0,2,1,win
2,4,1,2,8,1760.0,0,2,2,win
2,4,1,2,8,1756.0,0,2,2,win
2,4,1,2,8,1750.0,0,2,2,win
2,4,1,2,8,1757.0,0,2,2,win
2,4,1,2,8,1764.0,0,2,2,win
2,3,1,1,6,1529.0,0,2,1,win
2,4,1,2,8,1726.0,0,2,2,win
2,4,0,2,8,1758.0,0,2,2,win
2,3,1,1,6,1527.0,0,2,1,win
1,2,0,1,4,53.0,0,1,1,lose
2,4,1,2,8,1760.0,0,2,2,win
2,4,1,2,8,1771.0,0,2,2,win
2,3,0,2,7,1761.0,0,2,2,win
2,4,1,2,8,1777.0,0,2,2,win
2,4,0,2,8,1771.0,0,2,2,win
2,3,1,2,7,1752.0,0,2,2,win
2,3,1,1,6,1561.0,0,2,1,win
1,3,0,2,6,1541.0,0,1,2,win
2,4,0,2,8,1754.0,0,2,2,win
2,2,1,2,6,1760.0,0,2,2,win
2,4,0,2,8,660.0,0,2,2,lose
2,4,0,2,8,1767.0,0,2,2,win
2,4,0,2,8,1765.0,0,2,2,win
1,1,1,1,3,17.0,0,1,1,lose
1,3,0,2,6,1561.0,0,1,2,win
1,3,1,2,6,1550.0,0,1,2,win
2,4,0,2,8,1763.0,0,2,2,win
2,3,1,2,7,1754.0,0,2,2,win
1,2,1,1,4,1338.0,0,1,1,win
2,4,0,2,8,1759.0,0,2,2,win
2,4,1,2,8,1751.0,0,2,2,win
2,4,1,2,8,1773.0,0,2,2,win
2,3,1,2,7,1762.0,0,2,2,win
2,3,1,2,7,1765.0,0,2,2,win
2,3,1,2,7,1753.0,0,2,2,win
2,4,0,2,8,1772.0,0,2,2,win
2,4,1,2,8,1752.0,0,2,2,win
2,3,1,1,6,1523.0,0,2,1,win
2,3,1,1,6,1522.0,0,2,1,win
1,2,1,1,4,44.0,0,1,1,lose
2,4,1,2,8,1734.0,0,2,2,win
2,4,1,2,8,1765.0,0,2,2,win
2,4,0,2,8,1770.0,0,2,2,win
2,3,1,2,7,1775.0,0,2,2,win
2,3,0,2,7,1741.0,0,2,2,win
2,4,1,2,8,1758.0,0,2,2,win
2,4,1,2,8,1749.0,0,2,2,win
2,3,1,1,6,1533.0,0,2,1,win
