Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,3.42521,0.022,0.561,0.534,0.561,0.534,2.078,0.132,1000.021,0.866
1,COMPLETE,-0.7179899999999999,0.082,0.556,0.57,0.556,0.57,4.393,0.174,901.201,0.805
2,COMPLETE,-0.15946000000000002,0.085,0.48,0.534,0.48,0.534,3.318,0.151,916.054,0.839
3,COMPLETE,3.1934899999999997,0.012,0.554,0.595,0.554,0.595,3.596,0.164,953.849,0.836
4,COMPLETE,3.31155,0.028,0.55,0.527,0.55,0.527,2.0,0.109,1009.655,0.879
5,COMPLETE,0.9030900000000001,0.07,0.566,0.506,0.566,0.506,2.395,0.142,976.309,0.855
6,COMPLETE,1.0956199999999998,0.057,0.414,0.635,0.414,0.635,3.293,0.145,919.062,0.847
7,COMPLETE,-0.1936800000000001,0.075,0.523,0.578,0.523,0.578,4.1,0.166,906.132,0.819
8,COMPLETE,-1.12377,0.091,0.539,0.49,0.539,0.49,5.065,0.166,857.123,0.789
9,COMPLETE,1.3873600000000001,0.052,0.503,0.549,0.503,0.549,3.56,0.146,924.736,0.831
10,COMPLETE,2.2988000000000004,0.045,0.592,0.539,0.592,0.539,1.711,0.102,1020.38,0.893
11,COMPLETE,-0.14142000000000002,0.068,0.546,0.522,0.546,0.522,5.342,0.175,859.858,0.79
