Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,-13.050889999999999,0.292,0.281,0.219,0.281,0.219,16.106,0.237,404.911,0.478
1,COMPLETE,-21.367699999999996,0.499,0.17,0.185,0.17,0.185,10.281,0.136,535.73,0.596
2,COMPLETE,-8.23704,0.206,0.307,0.274,0.307,0.274,13.703,0.186,496.796,0.515
3,COMPLETE,-21.9915,0.443,0.093,0.103,0.093,0.103,24.324,0.295,113.85,0.278
4,COMPLETE,-5.65883,0.205,0.375,0.42,0.375,0.42,5.23,0.112,856.617,0.804
5,COMPLETE,-16.84528,0.359,0.177,0.148,0.177,0.148,18.926,0.205,272.972,0.362
6,COMPLETE,-19.86015,0.399,0.202,0.166,0.202,0.166,22.786,0.338,192.985,0.354
7,COMPLETE,-2.3626799999999997,0.123,0.373,0.411,0.373,0.411,7.035,0.125,770.732,0.729
8,COMPLETE,-19.25827,0.363,0.185,0.182,0.185,0.182,25.401,0.372,72.673,0.227
9,COMPLETE,-16.1328,0.389,0.255,0.255,0.255,0.255,9.445,0.197,586.72,0.629
10,COMPLETE,-14.318400000000002,0.32,0.224,0.245,0.224,0.245,16.048,0.241,402.66,0.474
11,COMPLETE,-15.765310000000001,0.312,0.324,0.361,0.324,0.361,11.678,0.261,325.969,0.267
