Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,2.6462299999999996,0.03,0.577,0.496,0.577,0.496,2.6,0.143,951.123,0.847
1,COMPLETE,3.06566,0.029,0.551,0.509,0.551,0.509,2.117,0.147,981.566,0.852
2,COMPLETE,3.8206700000000002,0.024,0.53,0.541,0.53,0.541,1.408,0.104,1037.567,0.893
3,COMPLETE,2.59536,0.04,0.58,0.516,0.58,0.516,1.735,0.121,1007.536,0.875
4,COMPLETE,3.23746,0.029,0.485,0.544,0.485,0.544,2.251,0.128,983.246,0.863
5,COMPLETE,3.6246400000000003,0.029,0.496,0.547,0.496,0.547,1.447,0.105,1028.964,0.894
6,COMPLETE,3.3705499999999997,0.025,0.541,0.533,0.541,0.533,1.895,0.115,999.055,0.881
7,COMPLETE,3.3853099999999996,0.023,0.489,0.565,0.489,0.565,2.021,0.144,980.531,0.851
8,COMPLETE,3.17042,0.029,0.571,0.549,0.571,0.549,2.339,0.102,1022.042,0.894
9,COMPLETE,3.3118100000000004,0.035,0.55,0.508,0.55,0.508,1.321,0.103,1035.181,0.895
10,COMPLETE,-1.2006299999999999,0.111,0.501,0.498,0.501,0.498,3.126,0.139,934.437,0.856
11,COMPLETE,3.58349,0.014,0.545,0.554,0.545,0.554,2.53,0.135,977.849,0.864
