Number,State,Value,UserAttribute norm_EarlyBird,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
0,COMPLETE,-29.49657,0.649,0.038,0.037,0.038,0.037,15.721,0.192,332.843,0.469
1,COMPLETE,-15.67065,0.316,0.22,0.158,0.22,0.158,21.756,0.282,201.935,0.318
2,COMPLETE,-26.97728,0.563,0.068,0.068,0.068,0.068,21.366,0.305,185.272,0.351
3,COMPLETE,-30.303879999999996,0.657,0.032,0.03,0.032,0.03,17.378,0.225,285.612,0.443
4,COMPLETE,-27.363310000000002,0.563,0.058,0.042,0.058,0.042,20.69,0.231,128.669,0.256
5,COMPLETE,-24.708730000000003,0.449,0.106,0.122,0.106,0.122,31.036,0.377,-111.873,0.066
6,COMPLETE,-20.71527,0.403,0.095,0.066,0.095,0.066,25.658,0.26,23.973,0.16
7,COMPLETE,-20.83911,0.415,0.063,0.06,0.063,0.06,24.536,0.249,52.589,0.19
8,COMPLETE,-22.331049999999998,0.459,0.118,0.112,0.118,0.112,22.906,0.276,176.895,0.333
9,COMPLETE,-26.10417,0.552,0.076,0.081,0.076,0.081,18.98,0.234,228.083,0.341
10,COMPLETE,-25.955340000000003,0.523,0.053,0.05,0.053,0.05,22.89,0.301,70.966,0.222
11,COMPLETE,-26.123690000000003,0.551,0.097,0.074,0.097,0.074,19.795,0.218,228.131,0.358
